"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"799","2106","First:,Second:,I do not know any.","مركز حقوق المرأة","محكمة الاسرة",NA,NA,NA
"800","2115","First:","حكايات نهاد",NA,NA,NA,NA
"801","2116","First:,Second:,Third:,Fourth:,Fifth:","مركز زيتونه للمراه والطفل","المجلس القومي للمرأة","مؤسسه هي مصر","معرفش","معرفش"
"802","2119","First:,Second:","دعم الرأه على WhatsApp","برامج د.نهاد وصفحه فيسبوك",NA,NA,NA
"803","2128","First:","المركز القومى للمرأة",NA,NA,NA,NA
"804","2129","First:,Second:,Third:","وزارة التضامن الاجتماعي","صندوق مكافحة وعلاج الإدمان والتعاطي","وزارة الشباب",NA,NA
"805","2131","First:","المركز القومي لحقوق المرأه",NA,NA,NA,NA
"806","2132","First:","المركز القومى للمرأة",NA,NA,NA,NA
"807","2138","First:","المركز القومي للمراة",NA,NA,NA,NA
"808","2141","First:","جروبات الفيسبوك",NA,NA,NA,NA
"809","2142","First:,Second:,Third:","المركز المصرى لحقوق المرأة","المجلس القومى للمرأة","هيئة بلان",NA,NA
"810","2143","First:,Second:","المركز القومي للمرأة","جمعيات حقوق المرأة",NA,NA,NA
"811","2146","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"812","2147","First:,Second:","رضوي الشربيني","المحاكم",NA,NA,NA
"813","2148","First:,Second:,Third:","هي وبس","حكايات نهاد","الستات مبيعرفوش يكدبو",NA,NA
"814","2149","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"815","2151","First:,Second:,Third:","المركز القومى لحقوق  للمرأة","المركز المصرى لدعم المرأة","الجمعيات الخيرية اللى تدعم المطلقات والأرامل والايتام",NA,NA
"816","2152","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"817","2153","First:,Second:","منظمه حقوق للمراه","رعايه الام والطفل",NA,NA,NA
"818","2156","First:,Second:,Third:","المجلس القومى للمراة","المجلس القومى لحقوق المرأة","المجلس القومى للامومه والطفوله",NA,NA
"819","2169","First:","فيس بوك",NA,NA,NA,NA
"820","2170","First:","برنامج هي وبس",NA,NA,NA,NA
"821","2171","First:","دعم المرأة",NA,NA,NA,NA
"822","2173","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المراه","السلطات المعنيه بالامر","الشكوه لشخص عااقل","التحدث معه بهدوء","اللجوء لمحامى"
"823","2176","First:,Second:,Third:,Fourth:,I do not know any.","جمعيات حقوق المرأه","المجلس القومى للمراه","المحامين","القضاء والقانون",NA
"824","2179","First:","حكايات نهاد",NA,NA,NA,NA
"825","2180","First:","حكايات نهاد",NA,NA,NA,NA
"826","2184","First:","اليوتيوب",NA,NA,NA,NA
"827","2187","First:","مجلس المرأة",NA,NA,NA,NA
"828","2188","First:,Second:","المركز القومى للمرأة","منتدى الخمسين سيدة ضد التحرش",NA,NA,NA
"829","2189","First:,Second:","محضر فى القسم","و محامى قضيه",NA,NA,NA
"830","2194","First:,I do not know any.","حكايات نهاد",NA,NA,NA,NA
"831","2199","First:,Second:,Third:,Fourth:","جمعيات حقوق المراه","موقع محاميك","برامج توعيه النساء","حكايات نهاد",NA
"832","2203","First:","برنامج نهاد",NA,NA,NA,NA
"833","2204","First:,Second:","وزارة التضامن","مجلس المراة",NA,NA,NA
"834","2209","First:,Second:","حكايات نهاد","هي وبس",NA,NA,NA
"835","2210","First:,Second:,Third:,Fourth:","منظمة حقوق المرأة","رضوي الشربيني","دكتورة نفسية لا اتذكر اسمها","صفحات علي السوشيال ميديا",NA
"836","2211","First:,Second:","المجلس القومى للمراه","برنامج حكايات نهاد",NA,NA,NA
"837","2213","First:,Second:,Third:","صفحة د. نهاد","المجلس القومي للمرأة","دكاترة الدعم النفسي والاستشارات الاسرية",NA,NA
"838","2215","First:,Second:","انتى مش لوحدك","منع العنف ضد المرأه والقضاء عليه",NA,NA,NA
"839","2216","First:,Second:","بعض صفحات الفيس","المجلس القومى للمراه",NA,NA,NA
"840","2219","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"841","2221","First:","الشرطة",NA,NA,NA,NA
"842","2223","First:","جروبات واتساب لدعم المرأة",NA,NA,NA,NA
"843","2229","First:","حكاية نهاد",NA,NA,NA,NA
"844","2230","First:,Second:,Third:,Fourth:,Fifth:","الجمعيات","المنظمات الحكوميه","المنظمات غير الحكوميه","الاهل","الدعم النفسي"
"845","2231","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"846","2232","First:","جمعية حقوق المراة",NA,NA,NA,NA
"847","2233","First:,Second:","هيئه الأمم المتحدة للمراه","منظمه الصحه العالميه",NA,NA,NA
"848","2235","First:","رضوي الشربيني",NA,NA,NA,NA
"849","2236","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"850","2239","First:,Second:,Third:,Fourth:","صندوق دعم المراة","بعض الجمعيات الاهلية","المركز المصرى لحقوق المراة","اسال محاميك دكتور نهاد ابو القمصان",NA
"851","2241","First:,Second:,Third:,Fourth:","كتاب العتف ضد المراة","المجلس القومى للمراة","التليفزيون","السوشيال ميديا",NA
"852","2242","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"853","2244","First:,Second:","جمعية العنف ضد المرأة","دعم المرأة",NA,NA,NA
"854","2249","First:,Second:","المجلس القومي للمراه","هيئه إنقاذ الطفوله",NA,NA,NA
"855","2256","First:,Second:,Third:,Fourth:,Fifth:","قضايا المراه","المراه والطفل","جمعية حقوق المراه","المراه والقانون","مباحث الانترنت"
"856","2257","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"857","2261","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"858","2262","First:,Second:","المراة والاسرة","انت مش لوحدك",NA,NA,NA
"859","2265","First:","انتى مش لوحدك",NA,NA,NA,NA
"860","2266","First:,Second:","النت","البرامج التليفزيونه",NA,NA,NA
"861","2270","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الفيس بوك","الأصدقاء","الاهل","الفيس بوك"
"862","2271","First:","صفحة دعم",NA,NA,NA,NA
"863","2277","First:","المركز المصري لحقوق المرأه",NA,NA,NA,NA
"864","2279","First:,Second:,Third:,Fourth:,Fifth:","مؤسسات تحمى حقوق المرأة","المجلس القومى للمراة","التضامن الاجتماعى","الازهر","محكمة الاسرة"
"865","2280","First:,Second:","برنامج مع نهاد","مركز حقوق المراه",NA,NA,NA
"866","2282","First:,Second:,Third:","هي وبس رضوي الشربيني","حكايات نهاد","المجلس القومي للمرأة",NA,NA
"867","2284","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"868","2291","First:","دعم المرأة",NA,NA,NA,NA
"869","2294","First:","لقاءات د نهاد",NA,NA,NA,NA
"870","2296","First:","حكايات نهاد",NA,NA,NA,NA
"871","2297","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"872","2300","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"873","2303","First:,Second:","السلطات الحكوميه","جهات لدعم المرأة",NA,NA,NA
"874","2304","First:,Second:","الجبهه القوميه لحقوق المراه","دعم المراه المصريه",NA,NA,NA
"875","2307","First:,Second:","المجلس القومى للمراة","مجلس حقوق الانسان",NA,NA,NA
"876","2312","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"877","2314","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"878","2315","First:","منظمةالانماء لدعم الشباب والمراة",NA,NA,NA,NA
"879","2316","First:","مراكز حمايه المرأه المعنفه",NA,NA,NA,NA
"880","2318","First:,Second:","المجلس القومى للمرأة","برنامج حكايات نهاد",NA,NA,NA
"881","2319","First:,Second:,Third:","المجلس القومي لحقوق المراه","حكايات نهاد مع نهاد ابو القمصان","اسال محاميك",NA,NA
"882","2323","First:,Second:,Third:,Fourth:,Fifth:","عبر واتساب انتي مش لوحدك","فيسبوك","يوتيوب","اخبار","تلفاز"
"883","2324","First:,Second:","مركز قضايا المرأة","الجمعية المصرية",NA,NA,NA
"884","2325","First:","نهاد",NA,NA,NA,NA
"885","2326","First:","المركز القومي للمؤأة",NA,NA,NA,NA
"886","2327","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"887","2335","First:,Second:,I do not know any.","الاعلام","البر",NA,NA,NA
"888","2337","First:,Second:","جمعية حقوق المراة","الشرطة",NA,NA,NA
"889","2338","First:","محاضر الشرطه",NA,NA,NA,NA
"890","2342","First:,Second:,Third:,I do not know any.","جمعيات المجتمع المدني","الجمعيات النسائية لحماية المرأة","السلطات المصريه",NA,NA
"891","2343","First:,Second:","دعم المرأة","الفيس بوك",NA,NA,NA
"892","2346","First:,Second:,Third:","المجلس القومى للمرأة","Police Assault","النيابة العامة",NA,NA
"893","2356","First:,Second:","المجلس القومي للمرأة","صفحة الاستاذة نهاد ابو القمصان",NA,NA,NA
"894","2361","First:,Second:,Third:,Fourth:","المركز المصري لحقوق المرأة","المجلس القومي للمرأة","مؤسسة قضايا المرأة المصرية","هيئة الامم المتحدة للدفاع عن المرأة",NA
"895","2362","First:,Second:,Third:","دكتورة نهاد ابو القمصان","دكتوره هبه قطب","تجارب بنات تم التحرش بيهم",NA,NA
"896","2363","First:,Second:","الشؤن الاجتماعية","حكايات نهاد",NA,NA,NA
"897","2364","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"898","2369","First:,Second:,Third:","دار الافتاء","الازهر","المجلس القومي للمرأة والطفل",NA,NA
"899","2372","First:,Second:,Third:","المركز المصرى لحقوق المراة","حقوق الانسان","مجلس المراة",NA,NA
"900","2376","First:","برنامج حكايات ناهد",NA,NA,NA,NA
"901","2377","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"902","2378","First:,Second:","مجلس قومى للمراة","جمعيات دعم المراة",NA,NA,NA
"903","2379","First:,Second:","المجلس القومي للمرأه","المركز المصري لحقوق المرأه",NA,NA,NA
"904","2384","First:,Second:","المجلس القومي للمرأه","Women Egypt",NA,NA,NA
"905","2386","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"906","2389","First:","حقوق المرأة",NA,NA,NA,NA
"907","2391","First:","اتتي مش لوحدك",NA,NA,NA,NA
"908","2392","First:,Second:,Third:","الفيسبوك","التليفزيون","اليوتيوب",NA,NA
"909","2393","First:,Second:,Third:,Fourth:","برنامج هى وبس","القاهرة والناس حكايات نهاد","Mbcمصر عمرو اديب","المحور وائل الابراشى",NA
"910","2394","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"911","2402","First:","جروبات الفيس",NA,NA,NA,NA
"912","2406","First:,Second:","المجلس القومي للمرأة","الجهات النسوية",NA,NA,NA
"913","2408","First:","ما تخفيش",NA,NA,NA,NA
"914","2410","First:","هنا بس",NA,NA,NA,NA
"915","2412","First:,Second:","الشؤون الاجتماعية","حضراتكم ، اعتذر لانني لا اعرف الوصف المناسب لما تقدمونه ولكنني شاكرة لجهودكم",NA,NA,NA
"916","2415","First:,Second:","المجلس القومى لحقوق المرأة","صفحات استشارات قانونية",NA,NA,NA
"917","2416","First:,Second:","المجلس القومى للمرأه","وسائل التواصل الاجتماعى",NA,NA,NA
"918","2418","First:","فيس بوك",NA,NA,NA,NA
"919","2419","First:,Second:","جمعيات المراه","جمعيات اهليه",NA,NA,NA
"920","2425","First:,Second:,Third:","دعم المراه","لا للتحرش","جهات مختصه",NA,NA
"921","2426","First:,Second:","المجلس القومى للمرأة","منظمات المجتمع المدنى لحقوق الانسان",NA,NA,NA
"922","2428","First:","الخط الساخن لنجدة الطفل",NA,NA,NA,NA
"923","2429","First:","الخط الساخن للهيئة الوطنية لمقاومة العنف الأسري",NA,NA,NA,NA
"924","2431","First:,Second:","المجلس القومى للمرأة","الدكتورة نهاد",NA,NA,NA
"925","2435","First:","مجلس المراه",NA,NA,NA,NA
"926","2436","First:","فيس بوك",NA,NA,NA,NA
"927","2437","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"928","2439","First:","انتي مش لوحدك",NA,NA,NA,NA
"929","2440","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"930","2444","First:,Second:,Third:","المجلس القومي للمرأة","وزارة التضامن","دعم المرأة",NA,NA
"931","2449","First:","دكتورة هويدا الدمرداش للعلاقات الأسرية",NA,NA,NA,NA
"932","2452","First:,Second:","جروب دعم قضايا المرأة","بعض الجمعيات المختصة بقضايا المرأة",NA,NA,NA
"933","2455","First:","الواتس اب الخاص بكم",NA,NA,NA,NA
"934","2460","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"935","2465","First:","دعم المرأة",NA,NA,NA,NA
"936","2466","First:,Second:","المركز المصري لحقوق المرأه","انتي لست وحدك",NA,NA,NA
"937","2467","First:,Second:,Third:,Fourth:,Fifth:","برنامج تلفزيوني","اليوتيوب","واتساب","تويتر","الفيسبوك"
"938","2468","First:,Second:,Third:","يوتيوب","واتس اب","فيس بوك",NA,NA
"939","2469","First:,Second:","قنوات الفضائيات","الفيس بوك",NA,NA,NA
"940","2473","First:","الانترنت",NA,NA,NA,NA
"941","2477","First:,Second:,Third:","المركز المصري لحقوق المرأه","موسسه قضايا المراه","المجلس القومي للمراه",NA,NA
"942","2479","First:","اللايف كوتيشز المختصين",NA,NA,NA,NA
"943","2480","First:,Second:,Third:","جمعية حقوق المرأة","انتي مش لوحدك","حقوق الانسان",NA,NA
"944","2482","First:,Second:","فيسبوك","يوتيوب",NA,NA,NA
"945","2484","First:,I do not know any.","ولا اى جهة",NA,NA,NA,NA
"946","2494","First:","لجنة خقوق المرأة",NA,NA,NA,NA
"947","2495","First:,Second:,Third:,Fourth:","مركز قضايا المرأه المصريه","المجلس القومي للمرأه","حملات التوعيه وتنميه المجتمع","المختصين بقضايا المرأه والدفاع عن حقوقها",NA
"948","2496","First:","حكايات نهاد",NA,NA,NA,NA
"949","2499","First:,Second:","حق المرأة زالطفل","جمعيات حقوق الإنسان",NA,NA,NA
"950","2500","First:","المجلس القومى للمراة",NA,NA,NA,NA
"951","2501","First:","دعم المرأه",NA,NA,NA,NA
"952","2503","First:,Second:,Third:,Fourth:,Fifth:","النت","البوليس","التليفزيون","الاهل","الاصحاب"
"953","2507","First:","برنامج حكايات نهال",NA,NA,NA,NA
"954","2509","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"955","2512","First:,Second:","المجلس القومي للمرأة","جمعية الطفولة والتنمية",NA,NA,NA
"956","2513","First:","حقوق المراه",NA,NA,NA,NA
"957","2514","First:","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"958","2516","First:","سلسلة انتي مش لوحدك",NA,NA,NA,NA
"959","2517","First:","المعهد القومي لحقوق المرأة",NA,NA,NA,NA
"960","2519","First:,Second:","السلطه المختصه","مجلس القومي للمراه",NA,NA,NA
"961","2520","First:,Second:","مركز المراءة","الدكتور نهاد ابو القمصان",NA,NA,NA
"962","2523","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات حقوق المرأة","الجمعيات والجهات المناهضة للعنف الأسري",NA,NA
"963","2524","First:","برنامج حكايه نهاد",NA,NA,NA,NA
"964","2531","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"965","2532","First:,Second:,Third:","المجلس القومي للمرأة","المستشفيات الحكومية","التواصل مع برنامج حكايات نهاد",NA,NA
"966","2538","First:,Second:","دغم المرأه","مواجهة التحرش",NA,NA,NA
"967","2539","First:","المجلس المصرى لحقوق المرأة",NA,NA,NA,NA
"968","2543","First:","مواقع التواصل الاجتماعي",NA,NA,NA,NA
"969","2547","First:,Second:","موقع المجلس القومي لحقوق المرأة","جروبات البنات والسيدات",NA,NA,NA
"970","2554","First:,Second:","حمايه المرأة","المجلس القومى للمراة",NA,NA,NA
"971","2560","First:,Second:,Third:","التلفيزيون","الانترنت","جهات قضايا المراة",NA,NA
"972","2561","First:,Second:","نوال السعداوي","رهف محمد",NA,NA,NA
"973","2562","First:","حقوق المراه",NA,NA,NA,NA
"974","2563","First:","مركز دعم المراه",NA,NA,NA,NA
"975","2570","First:,I do not know any.","حكايات نهاد",NA,NA,NA,NA
"976","2572","First:,Second:,Third:,Fourth:","حمايه المرأه والطفل","المجلس القومي للامومه والطفوله","الرقم بتاع التعرض للضرب مش عارفه اسمهم","كاريتاس 16000",NA
"977","2573","First:","مركز المرأة",NA,NA,NA,NA
"978","2576","First:,Second:,Third:,Fourth:,Fifth:","الاخبار من النت","الأخبار التليفزيونيه","الواتس","الفيس","برنامج حكايات نهاد"
"979","2585","First:","المجلس الفومي لحقوق المراه",NA,NA,NA,NA
"980","2587","First:","جهاز حمايه المراه والطفل",NA,NA,NA,NA
"981","2590","First:","جمعية حقوق المرأة والطفل",NA,NA,NA,NA
"982","2591","First:","جهات دعم المرأة",NA,NA,NA,NA
"983","2593","First:,Second:","مجلس حقوق المراه","منظمات مجتمعيه",NA,NA,NA
"984","2596","First:","المركز القومى للمرأة",NA,NA,NA,NA
"985","2597","First:","انتم اول جه انا اعرفها",NA,NA,NA,NA
"986","2598","First:,Second:,Third:","المجلس القومي للمراه","مجلس حقوق الإنسان","الشرطه",NA,NA
"987","2599","First:","اليونسيف",NA,NA,NA,NA
"988","2602","First:,Second:,Third:","المركز المصرى لحقوق المرأة","منظمة حقوق المراه وليها مكان معين فى الاسكندريه شارع ابو قير","الشئون الاجتماعيه",NA,NA
"989","2604","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراة","استبيان المراة انتي مش لوحدك","جروبات المشكلات المجتمعية","اللجوء للاهل","اللجوء للانترنت"
"990","2606","First:","حقوق المرأة",NA,NA,NA,NA
"991","2607","First:,Second:","المجلس القومي للمرأة","مكاتب المشورة",NA,NA,NA
"992","2612","First:,Second:,Third:,Fourth:","معرفش","معرفش","معرفش","معرفش",NA
"993","2613","First:","مؤسسة حماية المرأة والطفلة",NA,NA,NA,NA
"994","2615","First:","الشرطه",NA,NA,NA,NA
"995","2617","First:,Second:","جمعية حقوق المرأة","المركز القومى للمراة",NA,NA,NA
"996","2618","First:","قسم الشرطة",NA,NA,NA,NA
"997","2621","Third:,Fourth:",NA,NA,"حمايه المراه ضد العنف","وزاره التضامن الاجتماعي",NA
"998","2623","First:","المجلس القومي لحق ق المرأة",NA,NA,NA,NA
"999","2628","First:,Second:,Third:","المجلس القومي للمرأة","البرامج التلفزيونية","الانترنت",NA,NA
"1000","2631","First:,Second:","جهه حقوق المرأه","حكايات نهاد",NA,NA,NA
"1001","2632","First:,Second:,Third:,Fourth:","جمعيات حقوقية","مواقع قانونية","موقع دعم المرأة","مواقع تأهيل نفسى",NA
"1002","2633","First:","دعم المرأة",NA,NA,NA,NA
"1003","2634","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"1004","2638","First:,Second:","دعم المرآة","الجمعيات الأهلية",NA,NA,NA
"1005","2642","First:","جمعية حماية حقوق المرأه المصرية",NA,NA,NA,NA
"1006","2645","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"1007","2649","First:","مركز القومي لحقوق المراءة",NA,NA,NA,NA
"1008","2657","First:,Second:,Third:,Fourth:,Fifth:","الاذاعه","التلفزيون","الجرايد","النت","الشارع"
"1009","2660","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1010","2661","First:,Second:,Third:,Fourth:","فيس بوك","منتديات المرأة","محرك البحث جوجل","اليوتيوب",NA
"1011","2664","First:,Second:","المركز المصرى لحقوق المراة","المجلس القومى للمراة",NA,NA,NA
"1012","2665","First:","Women supporting",NA,NA,NA,NA
"1013","2670","First:","دعم المرأة",NA,NA,NA,NA
"1014","2672","First:","الفيس بوك",NA,NA,NA,NA
"1015","2673","First:,Second:,Third:","الشرطه","المركز القومي لرعايه المراه","دعم المراه",NA,NA
"1016","2681","First:","انتم",NA,NA,NA,NA
"1017","2686","First:","انتي مش لوحدك",NA,NA,NA,NA
"1018","2687","First:","فيديوهات التوعية ضد العنف",NA,NA,NA,NA
"1019","2689","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1020","2691","First:,Second:","انتي مش لوحدك واتس","جروبات اجتماعيه فيس",NA,NA,NA
"1021","2692","First:,Second:","أنتى مش لوحدك","برنامج منى العراقي",NA,NA,NA
"1022","2693","First:","انتى مش لوحدك",NA,NA,NA,NA
"1023","2695","First:","المركز القومي للمراة",NA,NA,NA,NA
"1024","2696","First:,Second:,Third:","مركز النديم لضحايا العنف الأسرى","المركز القومي للمرأة المعنفه","بيت حواء",NA,NA
"1025","2697","First:","المركز المصرى لحقوق المرءه",NA,NA,NA,NA
"1026","2699","First:","حكايات نهاد",NA,NA,NA,NA
"1027","2700","First:,Second:","مجلس المرأة","مجلس الطفولة",NA,NA,NA
"1028","2701","First:,Second:","المجلس القومي للمرأة العربية","منظمة حقوق الإنسان",NA,NA,NA
"1029","2703","First:,Second:,Third:","منظمة العفو الدولية","منظمة الصحة العالمية","المركز القومي للمرأة المعنفة",NA,NA
"1030","2704","First:,Second:","المجلس القومى للمرأة","الشرطة",NA,NA,NA
"1031","2705","First:","مؤسسه دعم المرأة",NA,NA,NA,NA
"1032","2706","First:,Second:","ألمركز المصري لحقوق المرأه","انتي مش لوحدك",NA,NA,NA
"1033","2709","First:,Second:,Third:,Fourth:,Fifth:","المركز القومى لحقوق المراه","مركز قضايا المراه المصريه","الجمعيه المصريه للتوعيه النفسيه","بيت حواء","مؤسسه المرأه المصريه"
"1034","2711","First:,Second:,Third:","آنتي مش لوحدك","المركز المصري لحقوق المرأة","جروب مبروك إنت متحرش إلكترونيا",NA,NA
"1035","2714","First:","مؤسسة دعم المرأة",NA,NA,NA,NA
"1036","2716","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1037","2717","First:,Second:,Third:","هيئات دينيه","المجلس القومى للمرأه","المجلس القومى للامومه و الطفوله",NA,NA
"1038","2718","First:",".دعم المراة انتي مش لوحدك",NA,NA,NA,NA
"1039","2720","First:","دعم المرأة",NA,NA,NA,NA
"1040","2721","First:,Second:","المجلس القومي للمرأة","المجلس القومى لحقوق المراءة",NA,NA,NA
"1041","2722","First:","دعم المرأة",NA,NA,NA,NA
"1042","2728","First:","أنتي مش لوحدك",NA,NA,NA,NA
"1043","2729","First:","جهة المشورة الاسرية",NA,NA,NA,NA
"1044","2730","First:,Second:,Third:,Fourth:,Fifth:","برنامج أستاذة نهاد","صفحات تنمية بشرية","صفحات علي الفيس بوك","مجلس حقوق المرأة","احيانا برامج التوك شو"
"1045","2731","First:,Second:,Third:","رضوى الشربينى","اسامه منير","عمر منتصر",NA,NA
"1046","2737","First:,Second:","الفيسبوك","الواتساب",NA,NA,NA
"1047","2741","First:","وزارة التضامن والأسرة وقضايا المرأة",NA,NA,NA,NA
"1048","2744","First:,Second:,Third:,Fourth:,Fifth:","برامج تيلفزيونه","يوتيوب","مؤسسات دعم المراه","الاهل","سلطات مختصه لدعم المراه"
"1049","2746","First:,Second:","Dr feminist","ثورية",NA,NA,NA
"1050","2747","First:","دعم المراة",NA,NA,NA,NA
"1051","2748","First:,Second:,Third:","مايسة كمال","دكتورة هويدا الدمرداش","دكتورة نهاد ابو القمصان",NA,NA
"1052","2749","First:,Second:,Third:,Fourth:,Fifth:","دكاتره متخصصه ل نص النساء المتتضررة","الفيس بوك","تويتر","بعض الجمعيات","متخصصين"
"1053","2753","First:","مكتب مشورة اسرية",NA,NA,NA,NA
"1054","2754","First:","مركز القومى للمرأة",NA,NA,NA,NA
"1055","2756","First:,Second:","حقوق المرأة","حقوق الانسان",NA,NA,NA
"1056","2757","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1057","2760","First:","المركز القومي للمراه",NA,NA,NA,NA
"1058","2768","First:,Second:","رضوي الشربيني","حقوق المرأة",NA,NA,NA
"1059","2770","First:","انتو",NA,NA,NA,NA
"1060","2779","First:","16000",NA,NA,NA,NA
"1061","2782","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1062","2787","First:","حكايات نهاد",NA,NA,NA,NA
"1063","2791","First:,Second:","سيدات مصر","المجلس القومي لحقوق الإنسان",NA,NA,NA
"1064","2793","First:,Second:","الشرطه","حقوق المرأه",NA,NA,NA
"1065","2796","First:,Second:,Third:","برامج المرأه","حكايات نهاد","مواقع التواصل",NA,NA
"1066","2797","First:,Second:,Third:","المجلس القومى للمرأة","المجلس القومى الطفولة والامومة","المركز المصرى لقضايا المرأة",NA,NA
"1067","2799","First:,Second:","خط نجدة الطفل","المجلس القومى لحقوق المراة",NA,NA,NA
"1068","2801","First:","د.هويدا الدمرداش",NA,NA,NA,NA
"1069","2809","First:,Second:,Third:,Fourth:,Fifth:","حكايات نهاد","القنوات الفضائية","الندوات","المؤتمرات","اماكن العمل"
"1070","2810","First:,Second:,Third:","جوجل","واتس اب","فيس بوك",NA,NA
"1071","2811","First:,Second:,Third:","الشرطة","جمعيات المجتمع المحلي","الخدمة الاجتماعية",NA,NA
"1072","2812","First:","المركز القومي لحماية المرأة",NA,NA,NA,NA
"1073","2815","First:,Second:","حكايات نهاد","نساء ضد العنف",NA,NA,NA
"1074","2816","First:,Second:","برنامج نهاد","المجلس القومى للمرأة",NA,NA,NA
"1075","2818","First:,Second:,Third:","برامج التوعية النسوية زي برنامج حكايات نهاد","المجلس القومي للمرأة","صفحات التوعية على السوشيال ميديا",NA,NA
"1076","2823","First:,Second:","حكايات نهاد","خط المرأة",NA,NA,NA
"1077","2826","First:,Second:","محكمه الاسره","حقوق المراءه",NA,NA,NA
"1078","2828","First:","دعم المراءه",NA,NA,NA,NA
"1079","2829","First:,Second:","صفحات الفيس بوك","جهات رسميه",NA,NA,NA
"1080","2831","First:,Second:","15115","16000",NA,NA,NA
"1081","2832","First:","جمعية حقوق المراه",NA,NA,NA,NA
"1082","2835","First:,Second:,Third:","برنامج ناهد ابو القمصان","برامج المرأة","اخبار جرائد",NA,NA
"1083","2845","First:","موقع دعم المرأه",NA,NA,NA,NA
"1084","2846","First:,Second:,Third:,Fourth:,Fifth:","منظمة الصحة العالمية للمراة ضد العنف","حقوق المراة","جهات علي الانترنت لحماية حقوق المراة","جمعية العنف الممارس ضد المراة","منظمة علاج العنف ضد المراة"
"1085","2850","First:,Second:,Third:","برنامج هي وبس","جمعية حقوق المرأة","دعم المرأة",NA,NA
"1086","2853","First:,Second:,Third:,Fourth:,Fifth:","No","No","No","No","No"
"1087","2854","First:,Second:","فيس بوك","التليفزيون",NA,NA,NA
"1088","2862","First:","المركز القومي للمرأة",NA,NA,NA,NA
"1089","2863","First:,I do not know any.","دعم المراة",NA,NA,NA,NA
"1090","2864","First:,Second:,Third:,Fourth:,Fifth:","برامج تليفزيون","مركز صحة المرأة","الهيئة  الوطنية لمقاومة العنف الاسري","الخط الساخن","محكمة الاسرة"
"1091","2868","First:","حكايات نهاد",NA,NA,NA,NA
"1092","2870","First:,Second:","هيئة القضاء","محكمة الأسره",NA,NA,NA
"1093","2876","First:,Second:,Third:","برامج التوك شو","جروبات واتس","صفحات فيسبوك",NA,NA
"1094","2878","First:","دعم المراة",NA,NA,NA,NA
"1095","2879","First:","حقوق المراة",NA,NA,NA,NA
"1096","2880","First:,Second:,Third:,Fourth:","المجلس القومي للمراه","هيئه بلان","صندوق الأمم المتحدة للسكان","صندوق الأمم المتحدة للمراه",NA
"1097","2882","First:,Second:","المجلس الأعلى للمرأة","منظمة اليونيسيف",NA,NA,NA
"1098","2883","First:","حكايات نهاد",NA,NA,NA,NA
"1099","2887","First:","المركز القومي للمرأة",NA,NA,NA,NA
"1100","2888","First:,Second:,Third:","جمعية حقوق المراة","المركز المصري لحقوق المرأة","الجمعيات المختلفة التي تتبنى حقوق المراة",NA,NA
"1101","2889","First:,Second:","الجمعيات الاهلية","جمعية الرعاية المتكاملة",NA,NA,NA
"1102","2891","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1103","2895","First:","حقوق المرأة",NA,NA,NA,NA
