"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"814","2151","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","واتساب","انستجرام","تويتر","تيلجرام"
"815","2156","First:,Second:","الجهات المسؤولة","الانترنت",NA,NA,NA
"816","2161","First:,Second:,Third:","معنا ضد التحرش","جمعيه حميه المجتمع من العنف الاسر","جمعيه الاسرة والطفل",NA,NA
"817","2171","First:","دعم المرأة",NA,NA,NA,NA
"818","2176","First:,Second:,Third:","المجلس القومى للمراه","المحامين على الانترنت","جمعيات حقوق المراه",NA,NA
"819","2179","First:,Second:,Third:","الشرطة","برامج ضد العنف","حكايات نهاد",NA,NA
"820","2183","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"821","2184","First:,Second:","اليوتيوب","جوجل",NA,NA,NA
"822","2189","First:,Second:,Third:","فيس بوك","المجلس القومى لحقوق المرأة","برامج التوعيه",NA,NA
"823","2191","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات حقوق الانسان","المجلس القومي للامومة والطفولة",NA,NA
"824","2194","First:,Second:,Third:,Fourth:,Fifth:","موقع دعم المرأه","برنامج حكايات نهاد","منظمة حقوق الانسان","المجلس القومى للمرأه","معا ضد التحرش"
"825","2199","First:,Second:","جمعيه حقوق المراه","موقع محاميك",NA,NA,NA
"826","2200","First:,Second:,Third:","الفيسبوك","الجروبات النسائية","اليوتيوب",NA,NA
"827","2203","First:,Second:,Third:,Fourth:,Fifth:","البحث في جوجل","البحث عن مواضيع مشابهه في السلطات المختصة","البحث في برامج المرأة","البحث عن المسؤلين المختص بشؤون المرأة","البحث عن برامج تلفزيونيه للتحدث"
"828","2204","First:","وزارة التضامن الاجتماعى وحدة للمراة المعنفه",NA,NA,NA,NA
"829","2206","First:,Second:","المجلس القومي للمرأة","حقوق الانسان",NA,NA,NA
"830","2210","First:,Second:,Third:,Fourth:","منظمة حقوق المرأة","الصفحات المختصة بالتجارب العنيفة ومعالجتها","صفحات ضد العنف","دكتورة نفسية موثوق بها",NA
"831","2213","First:","المجلس القومي للمراة",NA,NA,NA,NA
"832","2214","First:","دعم المرأه",NA,NA,NA,NA
"833","2215","First:,Second:,Third:,Fourth:,I do not know any.","العنف الممارس ضد المراه","العنف ضد المراه","الدائرة المفرغه للعنف","انتى مش لوحدك",NA
"834","2216","First:,Second:,Third:","صفحات على الفيس","الوتس","رقم جها مختصه",NA,NA
"835","2219","First:,Second:","منظمة العفو الدولية","برنامج حكايات نهاد",NA,NA,NA
"836","2221","First:","الفيس بوك",NA,NA,NA,NA
"837","2222","First:,Second:,Third:,Fourth:","حقوق المرأه","اليوتيوب","جروب الفيس بوك حقوق المرأه","برامج فى التليفزيون",NA
"838","2223","First:,Second:,Third:,Fourth:","الفيسبوك","التليفزيون","الشارع","الواتساب",NA
"839","2226","First:,Second:,I do not know any.","جمعيه حقوق المرأه المعنفه","اسأل نهاد",NA,NA,NA
"840","2228","First:,Second:,Third:","فيس بوك","جوجل","تويتر",NA,NA
"841","2229","First:","المجلس الأعلى لحقوق الإنسان",NA,NA,NA,NA
"842","2230","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","الاخبار","من التلفزيون","من ستات تعرضو لكده","من العمل"
"843","2233","First:,Second:","حكايات نهاد برنامج","جمعيه حقوق المراه",NA,NA,NA
"844","2238","First:,Second:,Third:","فيسبوك","تويتر","انستجرام",NA,NA
"845","2239","First:,Second:,Third:,Fourth:","يوتيوب","فيس بوك","واتساب","ماسنجر",NA
"846","2241","First:,Second:,Third:","ويكيبيديا","حكايات نهاد","المجلس القومى للمراة",NA,NA
"847","2244","First:,Second:","دعم المرأة","جمعية العنف ضد المرأة",NA,NA,NA
"848","2249","First:,Second:,Third:","يوتيوب","واتس ااب","تلفاز",NA,NA
"849","2250","First:,Second:,Third:,Fourth:,Fifth:","فيدوهات دعم المرأة التى تصلنى عبر الواتس اب","المجلس القومى للمرأه","لا اعرف","لا اعرف","لا اعرف"
"850","2256","First:,Second:,Third:,Fourth:,Fifth:","قضايا المراه","حقوق المراه والطفل","جمعيه حقوق المراه","القانون","المراه"
"851","2257","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"852","2266","First:,Fourth:,Fifth:","التليفزيون",NA,NA,"اصخابها","الفيس"
"853","2270","First:,Second:,Third:,Fourth:","الفيس بوك","الانترنت","برامج التلفزيون","الاهل",NA
"854","2271","First:,Second:,Third:,Fourth:","صفحه دعم","صفحة قانون الاسرة","صفحة لا للتحرش","جروب ستات قارده",NA
"855","2279","First:,Second:,Third:,Fourth:,Fifth:","مؤسسات تحمى حقوق المرأة","لمجلس القومى للمرأة","التضامن الاجتماعى","محكمة الاسرة","الازهر"
"856","2280","First:","مركز حقوق المراة",NA,NA,NA,NA
"857","2282","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","حكايات نهاد","هي وبس","لا للتحرس",NA
"858","2284","First:","موقع المجلس القومي للمرأة",NA,NA,NA,NA
"859","2288","First:,Second:,Third:,I do not know any.","فيسبوك","يوتيوب","جوجل",NA,NA
"860","2291","First:","دعم المرأة",NA,NA,NA,NA
"861","2293","First:","انت مش لوحدك",NA,NA,NA,NA
"862","2294","First:,Second:,Third:","الفيس بوك","التليفزيون","الاخبار",NA,NA
"863","2295","First:,I do not know any.","فيس بوك",NA,NA,NA,NA
"864","2302","First:,Second:","وتس","فيس",NA,NA,NA
"865","2303","First:,Second:,Third:","البحث عن جهه قانونيه لمعرفة الحقوق القانونيه لهذه الحاله وطرق الحلول","البحث عن جهات لدعم المرأه","البحث عن اساليب كيفية اتخاذ الإجراءات القانونية",NA,NA
"866","2307","First:","المجلس القومى للمراة",NA,NA,NA,NA
"867","2309","First:,Second:","صفحة سيدات مصر","المجلس القومى للمرأة",NA,NA,NA
"868","2311","First:","19576",NA,NA,NA,NA
"869","2315","First:","منظمات حقوق المراة",NA,NA,NA,NA
"870","2316","First:","مركز الامومه والطفوله",NA,NA,NA,NA
"871","2318","First:","المجلس القومى للمراة",NA,NA,NA,NA
"872","2319","First:,Second:,Third:","المجلس القومي لحقوق المراه","متابعه برنامج وحكايات نهاد","اسال محاميك",NA,NA
"873","2321","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","مركز قضايا المرأة المصرية","الجمعية المصرية للتوعية والصحة النفسية وعي","جمعية المرأة والتنمية","بيت حواء"
"874","2323","First:,Second:,Third:,Fourth:,Fifth:","عبر واتساب انتي مش لوحدك","فيسبوك","تلفاز","الاخبار","يوتيوب"
"875","2324","First:,Second:","مركز قضايا المرأة المصرية","مركز النديم المرأه المعنفة",NA,NA,NA
"876","2326","First:,Second:,Third:","فيسبوك","واتساب","انستجرام",NA,NA
"877","2328","First:,I do not know any.","حكايات نهاد",NA,NA,NA,NA
"878","2337","First:,Second:,Third:,Fourth:","جوجل","ويكيديا","يوتيوب","فيس",NA
"879","2340","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيس بوك","التلفزيون","الراديو","جمعيات حقوق امرأه"
"880","2342","First:,Second:,Third:,Fourth:","فيس بوك","انستجرام","واتساب","يوتيوب",NA
"881","2343","First:,Second:","الفيس بوك","الواتس اب",NA,NA,NA
"882","2346","First:,Second:,Third:","المجلس القومى للمرآة","Police assault","النيابة العامة",NA,NA
"883","2350","First:","دعم المراه",NA,NA,NA,NA
"884","2352","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتساب","تليجرام","تويتر","انستاجرام"
"885","2356","First:","حكايات نهاد برنامج اثق به",NA,NA,NA,NA
"886","2358","First:,Second:,Third:","دعم المرأة","ارفع ايدك ضد العنف","معا نقاوم العنف ضد المرأة والطفل",NA,NA
"887","2360","First:,Second:","جروبات فيس بووك نسائية","بعض الاصدقاء",NA,NA,NA
"888","2362","First:,Second:,Third:,Fourth:","دكتوره نهاد ابو القمصان","دكتورة هبة قطب","جروبات البنات","منتديات ومواقع",NA
"889","2363","First:,Second:,Third:","دعم المراءه","رضوى الشربيني","حكايات نهاد",NA,NA
"890","2364","First:,Second:","المجلس القومي للمرأة","صفحه د نيهاد قمصان",NA,NA,NA
"891","2367","First:","المركز القومي للمرأه",NA,NA,NA,NA
"892","2369","First:,Second:,Third:,Fourth:","انتي مش لوحدك","حقوق المرأة","المجلس القومي للمرأة","اليونيسيف",NA
"893","2372","First:,Second:,Third:","الشرطة","المركز المصرى لحقوق المراة","دعم المراة",NA,NA
"894","2373","First:,Second:","جروب سينجل مازر علي الفيس بوك","نيرمين ابو سويلم",NA,NA,NA
"895","2376","Second:",NA,"برنامج حكايات ناهد",NA,NA,NA
"896","2377","First:,I do not know any.","المجلس القومى للمرأة",NA,NA,NA,NA
"897","2378","First:,Second:","الفيس","الواتس",NA,NA,NA
"898","2379","First:,Second:,Third:","المجلس القومي للمرأه","المركز المصري لحقوق المرأه","جمعيات حقوق الانسان",NA,NA
"899","2384","First:,Second:","المجلس القومي للمرأه","Women Egypt",NA,NA,NA
"900","2386","First:","حكايات نهاد",NA,NA,NA,NA
"901","2391","First:","انتي مش لوحدك",NA,NA,NA,NA
"902","2392","First:,Second:,Third:","الفيسبوك","الوانساب","اليوتيوب",NA,NA
"903","2393","First:,Second:","جروبات أسأل المحامى","قاعدة ستات",NA,NA,NA
"904","2401","First:,Second:,Third:","مجموعات على الفيس بوك زى شيزلونج و جروبات البنات اللى منتشرة و هما هينصحونى و يوجهونى لافضل حل","اتفرج على فيديوهات يوتيوب تقدملى حلول و نصائح","جلسات توعية من خلال صفحات دكاترة على الفيس بوك",NA,NA
"905","2402","First:","الفيس",NA,NA,NA,NA
"906","2406","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","المجلس القومي للامومة والطفولة","المركز المصري لحقوق المرأة","مركز قضايا المراة المصرية","البرامج التليفزيونية"
"907","2407","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","اليوتيوب","الفيسبوك","الواتساب","التلفزيون"
"908","2409","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"909","2411","First:,Second:,Third:,Fourth:,Fifth:","دعم المراه","حقوق المرأه والطفل","قانون حمايه المرأه والطفل","برامج نسائيه","مواجهه العنف"
"910","2412","First:,Second:,Third:,Fourth:","غوغل","يوتيوب","فيس بوك","انستقرام",NA
"911","2415","First:,Second:","المجلس القومى لحقوق المرأة","صفحات استشارات قانونية",NA,NA,NA
"912","2416","First:,Second:","المجلس القومى للمرأه","<U+06A4>يديوهات السوشيال ميديا",NA,NA,NA
"913","2417","First:,Second:,Third:,I do not know any.","انتم","الفيس","برنامج الاسره",NA,NA
"914","2418","First:","فيس بوك",NA,NA,NA,NA
"915","2419","First:,Second:","مركز صحه للمراه","جمعيات اهليه",NA,NA,NA
"916","2425","First:,Second:,Third:,Fourth:","الواتس اب","انستجرام","فيس بوك","يوتيوب",NA
"917","2426","First:","وانساب عدم و تمكين المرأة",NA,NA,NA,NA
"918","2429","First:","الخط الساخن للهيئة الوطنية لمقاومة العنف الأسري",NA,NA,NA,NA
"919","2431","First:,Second:","المجلس القومى للمرأة","الدكتورة نهاد",NA,NA,NA
"920","2435","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراه","البرامج الحواريه","الصخف","برنامج الستات ميعرفوش يكدبوا","اليوم السابع"
"921","2437","First:,Second:","المجلس القومي للمرأة","دعم المرأة",NA,NA,NA
"922","2439","First:,I do not know any.","انتي مش لوحدك",NA,NA,NA,NA
"923","2440","First:,Second:,Third:","المجلس القومي للمرأة","مبادرات شبابية مثل بصي وشفت تحرش و Haress Map","UN WOMEN Egypt",NA,NA
"924","2442","First:","جمعيه حقوق المراه",NA,NA,NA,NA
"925","2444","First:,Second:,Third:","المجلس القومي للمرأة","دعم المرأة","وزارة التضامن الاجتماعي",NA,NA
"926","2445","First:,Second:,Third:,Fourth:,Fifth:","الوطن","الفيس","اليوم السابع","Mbc","Dmc"
"927","2452","First:,Second:,Third:","الفيس","الواتس","بعض برامج التليفزيون",NA,NA
"928","2455","First:","الواتس اب الخاص بكم",NA,NA,NA,NA
"929","2465","First:","دعم المرأه",NA,NA,NA,NA
"930","2466","First:","انتي لست وحدك",NA,NA,NA,NA
"931","2467","First:,Second:,Third:,Fourth:,Fifth:","التلفزيون","الفيس بوك","اليوتيوب","الانستا","توتير"
"932","2468","First:,Second:","فيس بوك","الواتس اب",NA,NA,NA
"933","2469","First:,Second:,Third:,Fourth:","فضفضة","حد يعرف","يوتيوب","جوجل",NA
"934","2473","First:,Second:","قنوات الاخبار","والبرنامج بتاعكوا",NA,NA,NA
"935","2475","First:","جروب نهاد ابو القنصان",NA,NA,NA,NA
"936","2476","First:","د/ نهاد ابو القمصان فى التلفزيون أو الواتس",NA,NA,NA,NA
"937","2480","First:,Second:","انتي مش لوحدك","حقوق المرأة",NA,NA,NA
"938","2482","First:,Second:,Third:,Fourth:","فيسبوك","واتس اب","انستجرام","تويتر تلجرام",NA
"939","2484","First:","الفيس",NA,NA,NA,NA
"940","2488","First:,Second:,Third:","فيسبوك","يوتيوب","تويتر",NA,NA
"941","2495","First:,Second:","دعم المرأه صفحه انتي مش لوحدك","برنامج حكايات نهاد",NA,NA,NA
"942","2499","First:,Second:","حكايات نهاد","هي وبس",NA,NA,NA
"943","2503","First:,Second:,Third:,Fourth:,Fifth:","النت","البوليس","المحكمة","الاهل","الاصحاب"
"944","2505","First:","دعم المرأة",NA,NA,NA,NA
"945","2507","First:","خليها تتابع برنامج حكايات نهاد",NA,NA,NA,NA
"946","2511","First:,Second:","المجلس القومى للمراة","الجمعية النسائيه",NA,NA,NA
"947","2513","First:","حقوق المراه",NA,NA,NA,NA
"948","2514","First:","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"949","2516","First:,Second:","قنوات على اليوتيوب","فيديوهات مرسله على الواتس",NA,NA,NA
"950","2517","First:,Second:","Facebook","What's app",NA,NA,NA
"951","2519","First:,Second:","مجلس القومي للمراه","منظمات الدوليه لحمايه الاسره والطفل",NA,NA,NA
"952","2520","First:,Second:","المركز القومي للمراءة","دكتور نهاد ابو القمصان",NA,NA,NA
"953","2523","First:,Second:,Third:,Fourth:","المجلس القومي للمراة","برنامج حكايات نهاد","جروبات الخاصة بالسيدات","جروبات الخاصه بمواجهة التحرش",NA
"954","2524","First:,Second:,Third:","الفيس","الوتس","المسنجر",NA,NA
"955","2528","First:,Second:,Third:,Fourth:,Fifth:","السلطات المختصه","جمعيات حقوق المراه","لايوجد","لايوجد","لا يوجد"
"956","2531","First:,Second:,Third:","فيسبوك","انستجرام","واتساب",NA,NA
"957","2532","First:,Second:,Third:","المجلس القومي للمرأة","الوحدات الموجوده بالمستشفيات الحكومية","حكايات نهاد",NA,NA
"958","2537","First:,Second:,Third:,Fourth:","جروبات النساء","بعض برامج للمراءة","هويدا الدمرداش","الدكتورة هاله",NA
"959","2538","First:,Second:,Third:","العنف المنزلي للمرأه","مواجهة التحرش","دعم المرأه",NA,NA
"960","2539","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"961","2547","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي لحقوق المرأة","جروبات البنات والسيدات","صفحة الازهر الشريف","صفحة وزارة الداخلية","جروبات لدعم ضحايا العنف والتحرش"
"962","2549","First:,Second:,Third:,I do not know any.","ال فيسبوك","تويتر","واتس اب",NA,NA
"963","2553","First:","برنامج نهاد",NA,NA,NA,NA
"964","2554","First:,Second:","المجلس القومى للمرأة","جمعيه استضافه المراة",NA,NA,NA
"965","2556","First:","دعم المراه",NA,NA,NA,NA
"966","2560","First:,Second:,Third:","الانترنت","الفيس","التلفزيون",NA,NA
"967","2561","First:","رهف",NA,NA,NA,NA
"968","2564","First:,Second:","يوتيوب","جوجل",NA,NA,NA
"969","2565","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"970","2567","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات","اخبار","بوستات","طلب حلول للمشاكل","مشاكل"
"971","2570","First:,Second:,Third:,Fourth:,Fifth:","يوتيوب","فيس","واتس","جوجل بحث","ماسنجر"
"972","2571","First:,Second:","حقوق المراه","دكتوره نهاد",NA,NA,NA
"973","2574","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الانترنيت","الجهات الحكوميه","البرامج  التليفزيونيه","منظمات حقوق  المرأة"
"974","2576","First:,Second:,Third:,Fourth:,Fifth:","الواتس","الفيس","برامج  اسريه","برامج ثقافيه","الإنترنت بشكل عام"
"975","2578","First:,Second:,Third:,Fourth:,Fifth:","التلقزيون","الوتساب","الفيسبوك","البرامج","الجريده"
"976","2580","First:,Second:","برامج التليفزيون","اليوتيوب",NA,NA,NA
"977","2582","First:,Second:","انتي مش لوحدك","دعم المرأه",NA,NA,NA
"978","2584","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"979","2585","First:","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"980","2587","First:,Second:","جهاز حمايه المراه والطفل","مركز الشرطه",NA,NA,NA
"981","2591","First:,Second:,Third:","دعم المرأة","جروبات عالفيس بوك","مجموعات عالوتساب",NA,NA
"982","2593","First:,Second:,Third:,Fourth:","جروبات للنساء","صفحات","فيديوهات","برامج",NA
"983","2598","First:,Second:,Third:","المجلس القومي للمراه","الشرطه","مجلس حقوق الانسان",NA,NA
"984","2599","First:,Second:","جروبات للدعم النفسي","اميرات رب المجد",NA,NA,NA
"985","2600","First:,Second:,Third:","فيسبوك","واتساب","التليفزيون",NA,NA
"986","2602","First:","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"987","2604","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراة","Horrmones keeper","Society problemes","Fashonesta white code","حكايات سوكا"
"988","2606","First:,Second:","الانترنت","جمعيات حقوق المرأة",NA,NA,NA
"989","2607","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"990","2612","First:,Second:,Third:,Fourth:,I do not know any.","معرفشابي","معرفش","معرفش","معرفش",NA
"991","2615","First:,I do not know any.","منظمه العفو الدوليه",NA,NA,NA,NA
"992","2617","First:,Second:","جمعية حقوق المراة","المركز القومى للمراة",NA,NA,NA
"993","2623","First:,Second:,Third:","الفيس","الواتس","الشرطه",NA,NA
"994","2628","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"995","2631","First:,Second:,Third:","مباحث الانترنت","جهه حقوق المرأه","البلاغ بقسم الشرطه",NA,NA
"996","2632","First:,Second:,Third:","مواقع قانونية","موقع دعم قضايا المرأة","مواقع للتأهيل النفسى",NA,NA
"997","2633","First:,Second:,Third:","الشخص دا اعرفه","مبروك انت متحرش","امسك متحرش",NA,NA
"998","2634","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"999","2635","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراة","تاء مربوطه","لا اعرف","لا اعرف","المجلس القومي للمرأة"
"1000","2638","First:,Second:","مركز دعم المرأة","الحمعيات",NA,NA,NA
"1001","2639","First:","انتي مش لوحدك",NA,NA,NA,NA
"1002","2645","First:","صفحة المجلس القومى لحقوق المراة",NA,NA,NA,NA
"1003","2649","First:","مجلس القومي للمراءة",NA,NA,NA,NA
"1004","2651","First:,Second:","فيسبوك","واتساب",NA,NA,NA
"1005","2657","First:,Second:,Third:,Fourth:,Fifth:","النت","الاذاعه","التلفزيون","الجرايد","الشارغ"
"1006","2660","First:","موقع دعم المرأة",NA,NA,NA,NA
"1007","2661","First:,Second:","الفيس بوك","منتديات المراة",NA,NA,NA
"1008","2664","First:,Second:","المركز المصرى لحقوق المراة","المجلس القومى للمراة",NA,NA,NA
"1009","2665","First:","Women supporting",NA,NA,NA,NA
"1010","2672","First:,I do not know any.","الفيس بوك",NA,NA,NA,NA
"1011","2673","First:","دعم المراه",NA,NA,NA,NA
"1012","2681","First:","الجروب بتاعكم",NA,NA,NA,NA
"1013","2682","First:,I do not know any.","التواصل مع د. نهاد ابو القمصان",NA,NA,NA,NA
"1014","2689","First:,Second:,Third:","المجلس القومي للمراه","انت مش لوحدك","حكايات نهاد",NA,NA
"1015","2691","First:","جروبات اجتماعيه خاصه بالمراه",NA,NA,NA,NA
"1016","2693","First:","انتى مش لوحدك",NA,NA,NA,NA
"1017","2695","First:,Second:","جوجل","المركز القومي للمراه",NA,NA,NA
"1018","2696","First:,Second:","المركز القومي للمرأة","منضمة الصحة العالمية",NA,NA,NA
"1019","2697","First:","المركز المصرى لحقوق المرءه",NA,NA,NA,NA
"1020","2703","First:,Second:,Third:,Fourth:,Fifth:","تمكين المرأة","منظمة الصحة العالمية","مركز صحة المرأة والتعليم","منظمة العفو الدولية","مركز قضايا المرأة المصرية"
"1021","2704","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1022","2706","First:,Second:","ألمركز المصري لحقوق المراه","انتي مش لوحدك",NA,NA,NA
"1023","2709","First:,Second:,Third:,Fourth:,Fifth:","الواتس اب","الفيس بوك","اليوتيوب","تويتر","جوجل"
"1024","2711","First:,Second:,Third:","آنتي مش لوحدك","المركز المصري لحقوق المرأة","جروب مبروك إنت متحرش إلكترونيا",NA,NA
"1025","2716","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"1026","2717","First:,Second:","المجلس القومى للمرأه","المجلس القومى للامومه و الطفوله",NA,NA,NA
"1027","2718","First:","دعم المراة انتي مش لوحدك",NA,NA,NA,NA
"1028","2721","First:,Second:","المجلس القومى لحقوق المراءة","للمجلس القومى للمرءاة",NA,NA,NA
"1029","2726","First:,Second:","الفيسبوك","جوجل",NA,NA,NA
"1030","2728","First:","انتي مش لوحدك",NA,NA,NA,NA
"1031","2732","First:,Second:","بعض الصفحات على الفيس بوكآن","بعض البرامج على اليوتيوب",NA,NA,NA
"1032","2737","First:,Second:,Third:","الفيسبوك","الواتساب","الماسنجر",NA,NA
"1033","2740","First:,Second:,Third:","Facebook","Twitter","Google",NA,NA
"1034","2741","First:","وزارة التضامن والأسرة وقضايا المرأة",NA,NA,NA,NA
"1035","2744","First:,Second:,Third:,Fourth:,Fifth:","يوتيوب","جوجل","فيس بوك","انستجرام","تويتر"
"1036","2746","First:,Second:,Third:,Fourth:","مجلس القومي للمراة","Dr feminist","ثورية","مش لوحدك",NA
"1037","2748","First:,Second:,Third:","جروبات استشارية للزوجات ع الفيس بوك","جروبات ع الواتس","سيرش ع جوجل",NA,NA
"1038","2749","First:,Second:,Third:,Fourth:,Fifth:","جروب البنات ع الفيس بوك","بعض المواقع","الأصدقاء","فيديوهات","قصص الاقارب"
"1039","2756","First:,Second:","مكاتب المراة","مكاتب الاستشارات النفسيه",NA,NA,NA
"1040","2760","First:,Second:,Third:,Fourth:","صفحه نسويه علي الفيسبوك","استاذه نهاد قمصان","جروب confession of a married woman علي الفيسبوك","رضوي الشربيني",NA
"1041","2768","First:,Second:,I do not know any.","منظمة حقوق المرأة","رضوى الشربيني",NA,NA,NA
"1042","2770","First:","انتو",NA,NA,NA,NA
"1043","2775","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"1044","2779","First:","16000",NA,NA,NA,NA
"1045","2782","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1046","2791","First:,Second:,Third:","المجلس القومي للطفولة والأمومة","مركز قضايا المرأة","بيت حواء",NA,NA
"1047","2793","First:,I do not know any.","مينا سمير",NA,NA,NA,NA
"1048","2796","First:,Second:,Third:,Fourth:","التليفزيون","مواقع الانترنت","الحياه العامة","الشغل",NA
"1049","2797","First:,Second:,Third:","المجلس القومى للمرأة","المركز المصرى لحقوق المرأة","جمعية نهوض وتنمية المرأة",NA,NA
"1050","2799","First:,Second:,Third:","خط نجدة الطفل","المجلس القومى للمرأة","دعم المراة",NA,NA
"1051","2803","First:,Second:","الانترنت","الناس",NA,NA,NA
"1052","2804","First:,Second:","صفحات علي الفيس بوك","قسم الشرطه",NA,NA,NA
"1053","2807","First:,Second:,Third:,Fourth:,Fifth:","تويتر","فيسبوك","انستجرام","صفحات نسوية","جروبات بنات"
"1054","2808","First:,Second:","اليوتيوب","الفيس بوك",NA,NA,NA
"1055","2809","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيس بوك","تويتر","واتساب","انستجرام"
"1056","2810","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس اب","جوجل","كروم","انستجرام"
"1057","2811","First:,Second:","فيس بوك","مجاميع نسائية واتس اب",NA,NA,NA
"1058","2812","First:,Second:","المجلس القومي للمرأة","المركز القومي لحماية المرأة",NA,NA,NA
"1059","2815","First:,Second:,Third:,Fourth:","لا للعنف","حكايات نهاد","جمعيه تواصل","نساء ضد العنف",NA
"1060","2816","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1061","2817","First:,I do not know any.","الفيس بوك",NA,NA,NA,NA
"1062","2818","First:,Second:,Third:","فيس بوك","اليوتيوب","الواتساب",NA,NA
"1063","2820","First:,Second:","المجلس القومي للمراة","اليونيسف",NA,NA,NA
"1064","2829","First:,Second:,Third:","صفحات الفيس بوك","اعلانات","فيديوهات",NA,NA
"1065","2832","First:","جمعية حقوق المراه",NA,NA,NA,NA
"1066","2835","First:,Second:,Third:","واتس اب","اعلانات فيس بوك","انستجىام",NA,NA
"1067","2845","First:","موقع دعم المرأه",NA,NA,NA,NA
"1068","2846","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراة","العنف ضد المراة","قضايا صحة المراة","ضد التحرش","مركز صحة المرأة والتعليم"
"1069","2850","First:,Second:,Third:","جمعية حقوق المرأة","دعم المرأة","برنامج هي وبس (لرضوي الشربيني)",NA,NA
"1070","2853","First:,Second:,Third:,Fourth:,Fifth:","Youtube","Facebook","Television","Maglat","Idk"
"1071","2854","First:,Second:","فيس بوك","واتساب",NA,NA,NA
"1072","2862","First:","الفيس بوك",NA,NA,NA,NA
"1073","2864","First:,Second:,Third:","فيسبوك","انستجرام","تويتر",NA,NA
"1074","2865","First:,Second:,Third:","فيس بوك","اليوم السابع","اي موقع اخبار",NA,NA
"1075","2870","First:,Second:,Third:","برنامج حكايات نهاد","برامج تثقيفيه وتوعيه أسريه","برامج حقوق المرأه",NA,NA
"1076","2876","First:,Second:,Third:,Fourth:","اليوتيوب","فيس بوك","جروبات واتس اب","صفحات الدعم النفسي",NA
"1077","2878","First:,Second:,Third:","الأمم المتحدة","منظمة الصحة العالمية","دعم المراة",NA,NA
"1078","2879","First:","حقوق المراه",NA,NA,NA,NA
"1079","2880","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1080","2882","First:","برنامج رضوى الشربينى",NA,NA,NA,NA
"1081","2883","First:","حقوق المراه",NA,NA,NA,NA
"1082","2886","First:","مش لوحدك",NA,NA,NA,NA
"1083","2888","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات دعم المرأة","دراسة متعمقه بشأن جميع أشكال العنف ضد المرأة","الابحات والمراجع الخاصة بالنهوض بالمرأه","الاستفادة من تجارب الاخرين","القرآن الكريم وكيفية تكريم المرأة والدفاع عنها"
"1084","2891","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1085","2892","Second:,I do not know any.",NA,"جروبات مشاكل زوجيه",NA,NA,NA
"1086","2895","First:","الفيس",NA,NA,NA,NA
"1087","2896","First:,Second:,Third:,Fourth:","حقوق المراءة","قضايا مطروحة علي النت","المحاكمات الاكترونية","قصص شخصية",NA
"1088","2899","First:","انتي مش لوحدك",NA,NA,NA,NA
"1089","2904","First:","المجلس القومي للمراة",NA,NA,NA,NA
"1090","2906","First:,Second:,Third:","الفيس بوك","تويتر","الواتس",NA,NA
"1091","2907","First:,Second:,Third:,Fourth:,Fifth:","محو الاميه الزوجيه","دفئ البيوت","هدى سالم","هويدا الدمرداش","دعم المرأه"
