"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"543","1722","First:,Second:,Third:,Fourth:","عدم التفاهم بين الزوجين","عصبية الزوج وسرعة في أغلب الأمور","الضغوط بسبب قاعدة الزوج","الامور المادية تؤدى إلي العنف المنزلي",NA
"544","1724","First:,Second:,Third:","التثفيف","التوعيه","ايجاد فرص عمل خاصه بها",NA,NA
"545","1728","First:,Second:,Third:,Fourth:,Fifth:","Face book","Yotube","قنوات الاعلام","اخبار google","جروبات الفيس بوك"
"546","1730","First:,Second:","المجلس القومي للمرأة",NA,NA,NA,NA
"547","1732","First:,Second:,Third:,Fourth:","المجلس القومى للمرأه","مركز قضايا المرأة","شيوج اللي بتيجي ف التليفزيون","الا ه. الشريف مركز الفتوي",NA
"548","1736","First:","جروبات زي حد يعرف او احنا الستات الزهقانين من غسيل المواعين",NA,NA,NA,NA
"549","1737","First:,Second:,Third:","فيس بوك","يوتيوب","جوجل",NA,NA
"550","1749","First:,Second:,Third:","د/نهاد ابو القمصان","الشاعر هشام","عطيه مبروك",NA,NA
"551","1752","First:,Second:","الخط الساخن للابلاغ عن مشاكل المرأة","خط نجدة الطفل",NA,NA,NA
"552","1754","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"553","1765","First:","جروبات على الفيس بوك",NA,NA,NA,NA
"554","1767","First:,Second:,Third:,Fourth:","الاخبار","صفحات النسوية","صدى البلد",NA,NA
"555","1769","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي لحقوق الانسان","قنوات تليفزيونيه",NA,NA
"556","1775","First:,Second:","الصفحة الرسمية للمجلس القومي للمرأة","بعض صفحات الفيس بوك الخاصة ببعض برامج المرأة",NA,NA,NA
"557","1780","First:","جروبات مش فاكره اسمها",NA,NA,NA,NA
"558","1785","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"559","1786","First:,Second:,Third:","فيس بوك","واتس","تليجرام",NA,NA
"560","1787","First:","الجمعيات الحقوقية",NA,NA,NA,NA
"561","1788","First:,Second:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"562","1791","First:,Second:,Third:","جروبات من الفيس بوك","جوجل","الاصدقاء",NA,NA
"563","1799","First:,Second:","Facebook","Twitter",NA,NA,NA
"564","1801","First:,Second:","المركز القومي للمرأة","لا للعنف الأسري",NA,NA,NA
"565","1808","First:,Third:,I do not know any.","جمعية حقوق المرأة ضدالعنف",NA,NA,NA,NA
"566","1809","First:,I do not know any.","الامومه والطفوله",NA,NA,NA,NA
"567","1810","First:,Second:,Third:","يوتيوب","جروب دندشه","جروب كلام ستات",NA,NA
"568","1811","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراة","جروبات الفيس بوك","اليوم السابع","حكاوى البنات","يومياتى مع سلايفى وحماتى"
"569","1814","First:,Second:,Third:","منظمة حقوق الأنسان","الشرطة","معا ضدد العنف",NA,NA
"570","1822","First:,Second:,Third:","جروبات نسائيه غير معروفه","المركز القومى للمرأة","الجمعيات النسائيه الغير معتمدة",NA,NA
"571","1825","First:,Second:,Third:","فيسبوك","واتساب","ماسنجر",NA,NA
"572","1826","First:,Second:,Third:,Fourth:,Fifth:","المنظمة المصرية لحقوق الإنسان","منظمة العفو الدولية","هيئة الامم المتحدة للمرأه","جمعية الحماية والدفاع عن حقوق المرأة","منظمة المرأة العربية"
"573","1829","First:,Second:,Third:,Fourth:,Fifth:","البيت","العائله","الاصدقاء","الانترنت","المحيطين"
"574","1832","First:,Second:,Third:,Fourth:,Fifth:","الجروبات ع الفيس","الجروبات ع الواتس","الجروبات ع تويتر","برامج دينيه","برامج تبع حقوق المراه"
"575","1833","First:,Second:,Third:,Fourth:","التلفزيون","صديقه تعمل في جمعيه التاء المربوطه","سمع بعض الأخبار عن الأقارب والمعارف","معرفش حاجه من النت",NA
"576","1838","First:,Second:,Third:","UNFPA","الجمعية العامة","المجلس القومي للمرأة وحقوق الطفل",NA,NA
"577","1843","First:,I do not know any.","المجلس القومى لحقوق المراه والطفل",NA,NA,NA,NA
"578","1844","First:,Second:","اليوم السابع","نبض",NA,NA,NA
"579","1848","First:","غالبا بيكون جروبات ع الفيس بوك",NA,NA,NA,NA
"580","1850","First:,Second:,Third:,Fourth:,Fifth:","صفحة مصر مدنية","حكايات نهاد","راديوا المطلقات","المركز المصري لحقوق المرأة","مفوضية الأمم المتحدة لحقوق النساء"
"581","1851","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"582","1856","First:,Second:,Third:,Fourth:,Fifth:","برنامج المحاميه الشهيره","برامج الدكتور مبروك عطيه","برنامج هاله سمير","برامج دعاء فروق والشيخ محمد","معظم برامج الدين"
"583","1857","First:,Second:","المجلس القومى للمراة","محكمة الاسرة",NA,NA,NA
"584","1860","First:,Second:,I do not know any.","منتديات جوجل","جروبات فيس بوك",NA,NA,NA
"585","1863","First:,I do not know any.","فيس",NA,NA,NA,NA
"586","1864","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"587","1871","First:","مجلس حمايه المراءه",NA,NA,NA,NA
"588","1874","First:,Second:","جروب الفيس بوك","جروب الوتس",NA,NA,NA
"589","1875","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","التليفزيون","فيس بوك","الناس","فيديوهات"
"590","1877","First:,I do not know any.",NA,NA,NA,NA,NA
"591","1881","First:,Second:,Third:","مجلس حقوق الإنسان","المجلس القومى للمرأة","الأزهر الشريف",NA,NA
"592","1882","First:,Second:,Third:","الجروبات","وصفحات المشاكل الأسرية","واصدقائي",NA,NA
"593","1889","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","Y-peer",NA,NA,NA
"594","1890","First:,Second:","واحة امان","العنف ضدد المرأة",NA,NA,NA
"595","1894","First:,Second:","فيسبوك","يوتيوب",NA,NA,NA
"596","1904","First:","جروبات للنساء",NA,NA,NA,NA
"597","1905","First:,Second:,Third:","الفيس","الاخبار","الانترنت",NA,NA
"598","1906","First:,Second:,Third:,Fourth:","صفحات على الفيس بوك","فيديوهات من اليوتيوب","مواقف حصلت قدامي","مواقف حصلت معايا انا شخصيا",NA
"599","1914","First:",NA,NA,NA,NA,NA
"600","1918","First:,Second:,I do not know any.","فيس بوك","مواقع الانترنت",NA,NA,NA
"601","1921","First:,Second:,Third:","بصي","خطيرة","ثورة المرأة",NA,NA
"602","1924","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"603","1926","First:,Second:,Third:","الفيس","اليوتيوب",NA,NA,NA
"604","1932","First:,Second:,Third:","المجلس القومي لحقوق المراة","شكاوى رئاسة الوزراء","جمعيات حقوقية",NA,NA
"605","1935","First:","المجلس القومى للمراة",NA,NA,NA,NA
"606","1944","First:,Second:","الاهانه","الضرب",NA,NA,NA
"607","1949","First:","جمعيه حقوق المرأه",NA,NA,NA,NA
"608","1953","First:,Second:,Third:,Fourth:","بوستات على الفيس","برامج","جوجل","جروبات فيس",NA
"609","1973","First:,Second:,Third:","حسابات علي الفيس بوك","جرائد مصرية مثل اليوم السابع و الوطن","الاصدقاء نفسهم",NA,NA
"610","1975","First:,Second:,Third:","المجلس القومى لحقوق المراه","اليونيسيف","بعض الصفحات الاستشارات الاسرية",NA,NA
"611","1977","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","التلفزيون","يوتيوب","المسلسلات","الافلام"
"612","1981","First:","المجلس القومى للمراه",NA,NA,NA,NA
"613","1983","First:,Second:,Third:,Fourth:,Fifth:","المركز المصرى لحقوق المرأة","مركز قضايا المرأة","جمعيه نهوض المرأة","المركز القومى لقضايا المرأه","مؤسسات المرأة والطفل"
"614","1986","First:,Second:","المجلس القومي للمرأة",NA,NA,NA,NA
"615","1987","First:,I do not know any.","معرفش غير ان الدكتوره عبله الكحلاوى بتساعد كبار السن والمطلقات  واى امراه متضرره",NA,NA,NA,NA
"616","1990","First:,Second:,Third:,Fourth:","واتساب","فيسبوك","تويتر","انستاجرام",NA
"617","1992","First:","صفحات عالفيس بوك",NA,NA,NA,NA
"618","1993","First:,Second:","المجلس القومي للمراه","جمعيه للنساء المعنفات",NA,NA,NA
"619","2007","First:","فيسبوك",NA,NA,NA,NA
"620","2010","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأة","حقوق الانسان","منظمات المجتمع المدنى","قسم الشرطه","المحكمه"
"621","2011","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","انستجرام","تويتر","يوتيوب","مخابرش"
"622","2012","First:,Second:,Third:,Fourth:,Fifth:","مصادر موثوقة منها","مؤسسه","جمعيه","انترنت","ندوات"
"623","2016","First:","صفحات التواصل الاجتماعي",NA,NA,NA,NA
"624","2018","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"625","2023","First:","فيس بوك",NA,NA,NA,NA
"626","2027","First:,Second:,Third:,Fourth:,Fifth:","Women council","UN women","Human rights","Idk","Idk"
"627","2031","First:","جمعية النساء المتضررة من العنف",NA,NA,NA,NA
"628","2040","First:","مجلس المرأة",NA,NA,NA,NA
"629","2042","First:,Second:,I do not know any.","رضوي الشربيني",NA,NA,NA,NA
"630","2044","First:","صفحات المواقع الاخباريه",NA,NA,NA,NA
"631","2051","First:,Second:,Third:,Fourth:,I do not know any.","مراكز دعم المراه","لااعرف","لااعرف","لااعرف",NA
"632","2055","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"633","2056","First:,Second:,I do not know any.","برنامج رضوى الشربيني","محكمة الاسرة",NA,NA,NA
"634","2057","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"635","2060","First:,Second:,I do not know any.","منظمه حقوق الانسان","جمعيه ضد العنف",NA,NA,NA
"636","2064","First:,I do not know any.",NA,NA,NA,NA,NA
"637","2066","First:,Second:,Third:,Fourth:,Fifth:","مؤسسة موده","متابعة الأخصائيين","متابعة دكتور استشاري علاقات زوجيه","البحث في جوجل","البرامج التثقيفيه"
"638","2067","First:,Second:,Third:","فيسبوك","يوتيوب","تويتر",NA,NA
"639","2069","First:,Second:","صفحة فيس بوك ... مش لوحدك","صفحة فيس بوك ... المركز المصري لحقوق المرأة",NA,NA,NA
"640","2071","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","اخبار جوجل","يوتيوب","واتساب","مواقع تدافع عن حقوق المرأة"
"641","2072","First:","قيس بوك",NA,NA,NA,NA
"642","2079","First:","العنف ضد المراة",NA,NA,NA,NA
"643","2081","First:","الفيس بوك",NA,NA,NA,NA
"644","2083","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","الفيس بوك","الفيس بوك","الفيس بوك","الفيس بوك"
"645","2085","First:,Second:,Third:","الاهل","الاصدقاء","الشرطه",NA,NA
"646","2093","First:,Second:,Third:,I do not know any.","الانتر نت","التلفزيون","التلفون",NA,NA
"647","2112","First:,Second:","جروبات ع الفيس","برامج دينيه",NA,NA,NA
"648","2116","First:,Second:","مركز زيتونه","العنف ضد المرأة",NA,NA,NA
"649","2117","First:","موقع نون",NA,NA,NA,NA
"650","2122","First:,Second:,Third:","المجلس القومي لحقوق الإنسان","المجلس القومي لحقوق المرأة","بوستات للفيس",NA,NA
"651","2127","First:,Second:","لا اعلم","لا أعلم",NA,NA,NA
"652","2131","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"653","2134","First:,Second:,Third:,Fourth:,Fifth:","فيس","يوتيوب","انستجرام","واتساب","تويتر"
"654","2136","First:,Second:","صفحه حقوق المراه","صفحه كيفيه حل المشكلات",NA,NA,NA
"655","2139","First:,I do not know any.",NA,NA,NA,NA,NA
"656","2146","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"657","2147","First:,Second:,Third:,Fourth:,Fifth:","رضوي الشربيني","اليوتيوب","الفيس بوك","تويتر",NA
"658","2148","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","فيس بوك","هي وبس رضوي الشربيني","جمعيات حقوق المرأة","جريدة اليوم السابع"
"659","2149","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"660","2151","First:,Second:,Third:,Fourth:,Fifth:","يوتيوب","فيس بوك صفحات مشكلات اجتماعية","منتديات نسائية","مكاتب استشارات اسرية","دكاترة تعديل سلوك وخلافات أسرية"
"661","2153","First:,Second:","فيس بوك","تويتر",NA,NA,NA
"662","2154","First:,Second:,Third:","كفو عن تعنيفها","الانترنت والنساء","العنف ضد المرأة",NA,NA
"663","2156","First:,Second:,Third:,Fourth:,Fifth:","برنامج حكايات نهاد","قراءة مصادر معلومات عن عنف منزلى وكيفيه التعامل","الاتصال بالمختصون فى المجال","متابعه برامج تليفزيونية","معرفه اشخاص مرو بتجربة ممثاله"
"664","2161","First:","جمعيه حقوق المرأة ضد العنف",NA,NA,NA,NA
"665","2164","First:","فيس بوك",NA,NA,NA,NA
"666","2176","First:","حقوق المرأه",NA,NA,NA,NA
"667","2180","First:,Second:,I do not know any.","الفيس بوك",NA,NA,NA,NA
"668","2182","First:","لا اعرف",NA,NA,NA,NA
"669","2183","First:,Second:","المجلس القومي للمرأة","رئاسة الوزراء",NA,NA,NA
"670","2188","First:","بعض الجمعيات الخاصة بحقوق المرأة",NA,NA,NA,NA
"671","2194","First:","المجلس القومى للمراة",NA,NA,NA,NA
"672","2199","First:,Second:","يوتيوب","فيس بوك",NA,NA,NA
"673","2203","First:","الفيس بوك",NA,NA,NA,NA
"674","2204","First:","وزارة التضامن مكان للنساء المعنفات",NA,NA,NA,NA
"675","2206","First:","صفحات مختلفة لا اتذكر اسمها",NA,NA,NA,NA
"676","2211","First:,Second:,Third:,Fourth:,Fifth:","موقع جوجل","موقع ثقافه حب","واتساب","يوتيوب","موقع خاص بهذا الموضوع يخص العنف ضد المراة"
"677","2212","First:,Second:,Third:,Fourth:,Fifth:","مجرد فيديوهات بسمعها","ناس بتكتب عن حقوق المرأة","مقالات","كتب","فيديوهات عادية بلاقيها بسمعها"
"678","2215","First:,Second:,Third:,Fourth:,Fifth:","منظمه العفو الدوليه","اللجنه الدوليه للمرآه","الشرق الأوسط","صحيفة الاستقلال","وزاره شئون المرأه"
"679","2216","First:","جمعيات حقوق المراه والطفل",NA,NA,NA,NA
"680","2220","First:,Second:,Third:,Fourth:","البرامج","النشرات","منظمات حقوق المراه","الحوادث",NA
"681","2221","First:","الفيس بوك",NA,NA,NA,NA
"682","2226","First:,I do not know any.","المحاميه نهاد ابو القمصان",NA,NA,NA,NA
"683","2228","First:,Second:","جوجل","الفيس بوك",NA,NA,NA
"684","2230","First:,Second:,Third:,I do not know any.","من الصحه العالميه","حقوق المرأه","العفو الدوليه",NA,NA
"685","2231","First:,Second:","Facebook","Twitter",NA,NA,NA
"686","2232","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"687","2233","First:,Second:","تطبيق هن","منظمه fustany",NA,NA,NA
"688","2237","First:,Second:,Third:,Fourth:,Fifth:","حق المرأه","زز","طج","ظم","من"
"689","2238","First:,Second:,Third:",NA,"فيسبوك",NA,NA,NA
"690","2239","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"691","2244","First:,Second:,Third:","فقرات تلفزيونية","الفيس بوك","فيدوهات",NA,NA
"692","2248","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الاصدقاء","النت","المحاكم","الصحف"
"693","2253","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","امي","الواتس اب","الجروبات","التويتر"
"694","2254","First:,Second:,Third:","منتديات","جروبات","مؤسسات",NA,NA
"695","2261","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"696","2268","First:,Second:","المجلس القومي للمرأة","المجلس القومي للطفولة والأمومة",NA,NA,NA
"697","2270","First:,Second:,Third:,Fourth:,Fifth:","الأصدقاء","الاهل","الأقارب","الزوج","الانترنت"
"698","2271","First:,Second:","بعض الجرائد زى اليوم السابع","صفحة عالفيس اسمها قانون الاسرة",NA,NA,NA
"699","2272","First:","فيس بوك",NA,NA,NA,NA
"700","2276","First:","مؤسسه هويدا الدمرداش",NA,NA,NA,NA
"701","2279","First:,Second:,Third:,Fourth:,Fifth:","الهيئات النسائية","البرامج الاسرية","الفيس","تويتر","الاخبار"
"702","2282","First:,Second:","المجلس القومي للمراة","مايسة كمال،  محو الامية الزوجية",NA,NA,NA
"703","2292","First:,Fourth:","لا أعلم",NA,NA,NA,NA
"704","2294","First:","الفيس بوك",NA,NA,NA,NA
"705","2303","First:,Second:,Third:,Fourth:","الفيس","اصدقاء","مصدر قانوني","الأهل",NA
"706","2306","First:","جروبات لعلاج المشكل الزوجيه",NA,NA,NA,NA
"707","2315","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"708","2316","First:","مركز حمايه المرأه المعنفه",NA,NA,NA,NA
"709","2319","First:,Second:","صفحه محكمه الاسره","المجلس القومي المراه",NA,NA,NA
"710","2321","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراة المصرية","المجلس القومي للمراة المعنفة","جمعية المراة والتنمية","جمعية حقوق المراة","الجمعية المصرية للتوعية والصحة النفسية"
"711","2323","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","يوتيوب","جرائد","تلفاز",NA
"712","2324","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المرأه  المصرية","المركز القومي المرأه المعنفة","مركز النديم","بيت حواء","جمعية المرأه والتنمية"
"713","2326","First:,Second:","فيسبوك","واتس اب",NA,NA,NA
"714","2328","First:,Second:,Third:,Fourth:,I do not know any.","لا أعرف","لا اعرف","لا اعرف","لا اعرف",NA
"715","2332","First:","حقوق المرأة",NA,NA,NA,NA
"716","2337","First:,Second:,Third:,Fourth:,Fifth:","جوجل","الفيس","يوتيوب","الانستجرام","الاخبار"
"717","2338","First:","جمعية حقوق المراه المصريه",NA,NA,NA,NA
"718","2342","First:,Second:,Third:,I do not know any.","يوتيوب","فيسبوك","اميستجر ام",NA,NA
"719","2343","First:","فيس بوك",NA,NA,NA,NA
"720","2345","First:","الفيس بوك",NA,NA,NA,NA
"721","2346","First:,Second:,Third:","Women from Egypt","Confession of married women","المجلس القومي للمرأة و الطفل",NA,NA
"722","2353","First:,Second:","قرايبي","الفيسبوك",NA,NA,NA
"723","2356","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"724","2360","First:,Second:","الجيران","جروبات النساء",NA,NA,NA
"725","2361","First:,Second:","نظرة","جمعية حقوق المصريات",NA,NA,NA
"726","2362","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"727","2367","First:,Second:","15115","المجلس القومي للمرأه",NA,NA,NA
"728","2369","First:,Second:,Third:,Fourth:","جمعية حقوق المراة","بعض صفحات البرلمانيات الي بيقدمو مساعدات للمراة","المرأة المصرية","اعتقد صفحة الرئاسة",NA
"729","2370","First:","لا اعرف",NA,NA,NA,NA
"730","2373","First:","جروب المرأة المعيله",NA,NA,NA,NA
"731","2376","First:,Second:","صفحات مش فاكره اسمها","موضوعات متداوله ع الفيس بشكل عام",NA,NA,NA
"732","2378","First:,Second:,Third:,Fourth:","صفحة عن حقوق المرأة","اخبار النيابة العامة تصرفها فى قضية بنت قاصر مؤخرا","تدريب على الواتس العنف ضد المراة مع محامى","اخبار الحوادث ساعة مع حنفى يوتيوب",NA
"733","2379","First:,Second:","المجلس القومي لحقوق المراه","المركز المصري لحقوق المرأه",NA,NA,NA
"734","2384","First:","جروبات للنساء فقط",NA,NA,NA,NA
"735","2393","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات حل المشكلات","قراءة بعض النصائح على صفحات الانترنت","اللجوء الى بعض الاستشاريين لحل المشاكل","الحوار مع مختصين التنمية البشرية لاعطاء طاقه ايجابيه","الدخول فى جروب لحل المشكلات"
"736","2396","First:","وزاره التضامن الاجتماعي",NA,NA,NA,NA
"737","2398","First:,Second:","Google","Facebook",NA,NA,NA
"738","2401","First:,Second:","معرفش غير مجرد جروبات و صفحات فيها ستات كتير ممكن يبعتولهم بعض المشكلات و بيقولوا أرائهم فيها","صفحات الدكاترة النفسيين او المتخصصين الاسريين",NA,NA,NA
"739","2402","First:","جروبات الفيس بوك من نساء مطحونات",NA,NA,NA,NA
"740","2406","First:,Second:,Third:","المجلس القومي للمراة","المركز المصري لحقوق المرأة","مؤسسة قضايا المراة المصرية",NA,NA
"741","2407","First:,Second:,Third:,Fourth:","الخط الساخن للهيئة الوطنية لمقاومة العنف الاسري","جمعيات المرأة","جمعيات حقوق الانسان","انسان تثق به وتطلب منه المساعدة",NA
"742","2411","First:,Second:,Fourth:","حقوق المراة","العلاج الاسرى",NA,NA,NA
"743","2412","First:,Second:,I do not know any.","جوجل","الفيس",NA,NA,NA
"744","2415","First:,Second:,Third:","المجلس القومى للمراءة","دار الافتاء","منظمة حقوق الانسان",NA,NA
"745","2416","First:,Second:,Third:","يوتيوب","برامج توك شو","جروب وسائل التواصل الاجتماعى",NA,NA
"746","2417","First:,Second:,I do not know any.","برامج المرأة","الفيس بوم",NA,NA,NA
"747","2418","First:,I do not know any.",NA,NA,NA,NA,NA
"748","2419","First:","بعض الجمعيات المراه",NA,NA,NA,NA
"749","2425","First:,Second:,Third:,Fourth:,I do not know any.","قضايا المراه","العنف الاسرى","مشكلات الطفوله",NA,NA
"750","2430","First:","منتدى فتكات",NA,NA,NA,NA
"751","2435","First:,Second:,Third:,Fourth:","فيس بوك","المجلس القومي للمراه","برامج عن العنف","الاصدقاء",NA
"752","2437","First:","المجلس القومي للمرأة فقط",NA,NA,NA,NA
"753","2440","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"754","2442","Second:",NA,NA,NA,NA,NA
"755","2447","First:,Second:,Third:","الفيس بوك","واتس","الماسنجر",NA,NA
"756","2457","First:","صفحة ثوري على فيسبوك",NA,NA,NA,NA
"757","2458","First:","لا اعرف",NA,NA,NA,NA
"758","2467","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","اليوتيوب","برنامج في التليفزيون","ممكن حد يتكلم معايا","ممكن اسمع جيرن وهم بيتخنوق"
"759","2468","First:,Second:,Third:,I do not know any.","فيس بوك","خبار الجرايد","الشارع",NA,NA
"760","2469","First:,Second:,Third:","حد يعرف","فضفضة","استراحة",NA,NA
"761","2482","First:,Second:,Third:,Fourth:,Fifth:","واتس اب","فيس بوك","الاقارب","الشخصي","الانستجرام."
"762","2485","First:,Second:","منظمة الصحة العالمية","مركز صحة المرارة والتعليم",NA,NA,NA
"763","2491","First:,Second:,Third:","Facebook","Youtube","Instagram",NA,NA
"764","2496","First:","Facebook",NA,NA,NA,NA
"765","2499","First:","حقوق المرأة",NA,NA,NA,NA
"766","2503","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","جوجل","الصحف","المجلات","يوتيوب"
"767","2509","First:,Second:,Third:","المجلس القومي الامومه والطفوله","المجلس القومي للمرأة",NA,NA,NA
"768","2511","First:","الجمعية النسائية",NA,NA,NA,NA
"769","2512","First:","0",NA,NA,NA,NA
"770","2514","First:,I do not know any.",NA,NA,NA,NA,NA
"771","2516","First:","الجروبات النسائيه",NA,NA,NA,NA
"772","2517","First:,Second:","Facebook","Twitter",NA,NA,NA
"773","2519","First:,Second:,Third:,Fourth:,Fifth:","لا يوجد","لا يوجد","لا يوجد","لا يوجد",NA
"774","2523","First:,Second:","المجلس القومي للمرأة","الجمعيات ضد عنف المرأة",NA,NA,NA
"775","2524","First:,Second:","النت عموماً","جوجل",NA,NA,NA
"776","2532","First:,Second:","د. ايثار محفوظ","اجزاء من برامج دينيه تعرض على ألنت",NA,NA,NA
"777","2533","First:,Second:","نسويه","المراه المصريه",NA,NA,NA
"778","2537","First:","الجروبات النسائية",NA,NA,NA,NA
"779","2538","First:,Second:,Third:,Fourth:,Fifth:","قضايا صحة المرأه","العنف ضد المرأه","مركز صحة المرأه والتعليم","العنف الممارس ضد المرأه","أليات محاصرة العنف الأسري ضد المرأه"
"780","2542","First:,I do not know any.","معرفش",NA,NA,NA,NA
"781","2547","First:,Second:,Third:,Fourth:,Fifth:","الجروبات النسائية","برامج توعية","برامج دينية","صفحات الاستشارات القانونية","صفحة المجلس القومي لحقوق المرأة"
"782","2549","First:,Second:,Third:,Fourth:","Face book","Twitter","اخبار","برامج",NA
"783","2551","First:","لا اعرف",NA,NA,NA,NA
"784","2554","First:","جمعيات حقوق المرأه",NA,NA,NA,NA
"785","2560","First:,Second:,Third:,Fourth:,Fifth:","Face","Google","K","Y","H"
"786","2561","Fifth:",NA,NA,NA,NA,"...."
"787","2564","First:,Second:,I do not know any.","موقع جوجل","برامج مثل اوبرا وينفري",NA,NA,NA
"788","2565","First:","المركز القومي لحقوق المرأه",NA,NA,NA,NA
"789","2567","First:,Second:,Third:,Fourth:,I do not know any.","لا اعرف","لا اعرف","لا اعرف","لا",NA
"790","2569","First:,Second:","Super mama","Mawada",NA,NA,NA
"791","2570","First:","يوتيوب",NA,NA,NA,NA
"792","2600","First:","فيسبوك",NA,NA,NA,NA
"793","2602","First:","المجلس الاعلي للمراه",NA,NA,NA,NA
"794","2604","First:,Second:","المجلس القومي للمراة","محكمة الاسرة",NA,NA,NA
"795","2606","First:","مجلس الوزراء",NA,NA,NA,NA
"796","2609","First:","الفيس بوك وجروبات البنات",NA,NA,NA,NA
"797","2612","First:","الفيس بوك",NA,NA,NA,NA
"798","2613","First:,Second:","Facebook","Google news",NA,NA,NA
"799","2623","First:,Second:","الفيس","الواتس",NA,NA,NA
"800","2626","First:","Society problems",NA,NA,NA,NA
"801","2630","First:","لا للعنف ضد المرأة",NA,NA,NA,NA
"802","2632","First:,Second:,Third:","جروبات حقوق المرأة","مواقع الاستشارات القانونية","مواقع المشورة ( لحل المشكلات الزوجية )",NA,NA
"803","2634","First:","مركز صحة المرأة والتعليم",NA,NA,NA,NA
"804","2635","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"805","2636","First:","Facebook",NA,NA,NA,NA
"806","2638","First:,Second:","الشؤن الاجتماعية","الجمعيات",NA,NA,NA
"807","2647","First:","مكافحه العنف ضد المرأه",NA,NA,NA,NA
"808","2648","Fifth:",NA,NA,NA,NA,NA
"809","2651","First:,Second:,Third:,Fourth:,Fifth:","الجيران","المنزل","التليفزيون","الانترنت","الشارع"
"810","2659","First:,Second:","جروبات على الفيس بوك","صفحات مذيعات مهتمة بشىون المراة",NA,NA,NA
"811","2672","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"812","2679","First:,Second:","مواقع الاخبار","بعض صفحات الفيس بوك",NA,NA,NA
"813","2682","First:","مؤسسة قضايا المراة",NA,NA,NA,NA
"814","2689","First:","youtube",NA,NA,NA,NA
"815","2691","First:,Second:","حقوق المراءه","حقوق الانسان",NA,NA,NA
"816","2695","First:","المعهد القومي لحقوق المراه",NA,NA,NA,NA
"817","2697","First:,Second:,Third:,Fourth:,Fifth:","الرقم المختصر للتبليغ عن العنف ضد الاسره تبع الشؤون الاجتماعيه","منظمات حقوق الانسان تقدر تساعد","صفحات المحاميين الى بيدعموا القضايا اللى من النوع ده وليهم كمان برامج ممكن التواصل من خلالها","الشرطه كحل للمواقف اللى يصعب التعامل معاها ودى","الاهل لو فى اول المشاكل لوضع  خط واضح للتعامل الادمى لو نفع تمام"
"818","2700","First:,Third:","المجلس القومى للطفولة والامومة",NA,NA,NA,NA
"819","2701","First:,Second:,Third:","المجلس القومي للمرأة","منظمه حقوق الإنسان","بعض سيدات المهتمة بشؤون المرأه وترفض العنف",NA,NA
"820","2703","First:,Second:,Third:,Fourth:","فيس بوك","انستجرام","جوجل","تويتر",NA
"821","2704","First:,Second:","المجلس القومى للمرأة","جمعيات أهلية",NA,NA,NA
"822","2705","First:,Second:","وافريز","حد شاف جوزي",NA,NA,NA
"823","2712","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","التليفزيون","اليوتيوب","الجرائد","الاخبار"
"824","2717","First:","السؤال غير واضح",NA,NA,NA,NA
"825","2721","First:,I do not know any.","ا",NA,NA,NA,NA
