"","index","know_org","know_org1","know_org2","know_org3","know_org4","know_org5"
"607","2147","First:,Second:,Third:,Fourth:","المجلس القومي للمرأه","جمعيات حقوق المرأه","نصره المرأه","المجلس الاعلي لحقوق المرأه",NA
"608","2148","First:,Second:,Third:,Fourth:,Fifth:","المركز القومي لتنمية وحقوق المرأة","جمعية حقوق المرأةو","مركز النديم لضحايا العنف الاسري","الجمعية المصرية للتوعية الصحية والنفسية","جمعية وعي"
"609","2149","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"610","2153","First:","جهاز حمايه المراه",NA,NA,NA,NA
"611","2154","First:,Second:","منظمه المرأة العالميه","حقوق المرأة",NA,NA,NA
"612","2156","First:,Second:,Third:","المركز القومى لحقوق المرأة","حكايات نهاد","الأمم المتحدة لحقوق الإنسان",NA,NA
"613","2164","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"614","2176","First:","حقوق المرأه",NA,NA,NA,NA
"615","2177","First:","المجلس القومي لحماية المرأة",NA,NA,NA,NA
"616","2182","First:","لا اعرف",NA,NA,NA,NA
"617","2189","First:","محكمة الاسره",NA,NA,NA,NA
"618","2191","First:,I do not know any.","المجلس القومي للمراة",NA,NA,NA,NA
"619","2199","First:,Second:","جمعيه حقوق المراه","محكمه الاسره",NA,NA,NA
"620","2203","First:,Second:,Third:","المحاميين","برامج التلفزيون","الراديو",NA,NA
"621","2204","First:","المجلس القومى للمراة",NA,NA,NA,NA
"622","2206","First:","جمعيات حقوق المرأة لا اعرف اسماء بعينها",NA,NA,NA,NA
"623","2209","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"624","2211","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراه","جمعية الحياه افضل","هييه كير","محكمه الاسرة","الجمعية التنميه بالقرى"
"625","2213","First:","الصفحة القانونية ا.نهاد ليلة القمصان",NA,NA,NA,NA
"626","2215","First:,Second:","العنف الممارس ضد المرآه","الفحص والتدخل",NA,NA,NA
"627","2216","First:","جمعيات حقوق المراه والطفل",NA,NA,NA,NA
"628","2220","First:","المنظمات حقوق المراه",NA,NA,NA,NA
"629","2225","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"630","2226","First:","صفحات لمحاميات على الفيس بوك",NA,NA,NA,NA
"631","2231","First:,Second:","مؤسسة المرأة الجديدة","مؤسسة قضايا المرأة المصرية",NA,NA,NA
"632","2232","First:","المجلس القومي لحقوق للمرأة",NA,NA,NA,NA
"633","2233","First:,Second:","النديم لمناهضه العنف الاسري","قوي الأمن الداخلي",NA,NA,NA
"634","2237","First:,Second:,Third:,Fourth:,Fifth:","لا","اعرف","جهات","مختصه","لا"
"635","2238","First:,Second:","فيسبوك","برامج تلفزيونيه",NA,NA,NA
"636","2239","First:,Second:,Third:,Fourth:","جروبات للنساء ع الفيس بوك","جروبات للنساء ع الواتس اب","برامج ع اليوتيوب.حكايات نهاد","جمعيات حقوق المراة",NA
"637","2244","First:,Second:","جمعية العنف ضد المراه","المجلس القومى للمرأة",NA,NA,NA
"638","2248","First:,Second:,Third:,Fourth:,Fifth:","دار الافتا","الاصدقاء","الاهالي","التلفاز","النت"
"639","2249","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"640","2253","First:,Second:,Third:,Fourth:,Fifth:","محاكمه لاسره","برامج تلفزيون","جروبات النت","الاهل","الاصدقاء"
"641","2261","First:","المجلس القومي للمراه",NA,NA,NA,NA
"642","2262","First:,Second:","ألاسرة والطفل","دور ألرعاية",NA,NA,NA
"643","2264","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"644","2268","First:,Second:","المجلس القومي للمرأة","المجلس القومي للطفولة والأمومة",NA,NA,NA
"645","2270","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الزوج","الاهل","الأصدقاء","الاقارب"
"646","2271","First:,Second:","المجلس القومي لحقوق المرأة","مكاتب الاستشارات الاسريه في عيادات تنظيم الاسرة",NA,NA,NA
"647","2276","First:","مؤسسه هويدا الدمرداش",NA,NA,NA,NA
"648","2279","First:,Second:,Third:","الهيئات النسائية","التضامن الاجتماعى","البرامج الاسرية",NA,NA
"649","2282","First:,Second:,Third:","رضوي الشربيني","حكايات نهاد","المجلس القومي للمراة",NA,NA
"650","2284","First:","المجلس القومي لرعاية الامومة والطفولة",NA,NA,NA,NA
"651","2292","First:","لا اعلم",NA,NA,NA,NA
"652","2294","First:,Second:","الفيس بوك","التليفزيون",NA,NA,NA
"653","2298","First:,Second:","بعض الجروبات","بعض البرامج",NA,NA,NA
"654","2301","First:,Second:","المجلس القومى للمراة","مبادرة مودة",NA,NA,NA
"655","2303","First:,Second:","الفيس","النت عموما",NA,NA,NA
"656","2312","First:","محكمة الاسرة",NA,NA,NA,NA
"657","2313","First:","المجلس القومى لحقوق المراه",NA,NA,NA,NA
"658","2314","First:","المركز القومى للمرأة",NA,NA,NA,NA
"659","2315","First:,Second:","موقع استشارات أسرية","منظمات حقوق المرأة",NA,NA,NA
"660","2316","First:","مركز حمايه المرأه المعنفه",NA,NA,NA,NA
"661","2319","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"662","2321","First:,Second:,Third:,Fourth:,Fifth:","الحمعية المصرية للتوعية والصحة النفسية","مركز النديم لضحايا العنف الاسري","بيت حواء","المجلس القومي للمرأة المعنفة","مركز قضايا المرأة المصرية"
"663","2324","First:,Second:,Third:","مركز استضافة المرأه","مركز المسانده","موسسة  المرأه المصرية",NA,NA
"664","2332","First:,Second:","حقوق المرأة","الأزهر",NA,NA,NA
"665","2345","First:,Second:,Third:","تعليقات الفيس بوك","بعض البرامج الدينية","دار الافتاء",NA,NA
"666","2346","First:,Second:","المجلس القومي للمرأة","منظمات المجتمع المدنى",NA,NA,NA
"667","2353","First:","مجلس حقوق المرأه",NA,NA,NA,NA
"668","2356","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"669","2361","First:,Second:,Third:,Fourth:","المركز القومي للمرأة","المجلس المصري للمرأة","جمعية حقوقيات المصريات","هيئة الولايات المتحدة للمرأة",NA
"670","2362","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"671","2363","First:","الشؤن الاجتماعيه",NA,NA,NA,NA
"672","2364","First:","المجلس القومي للمراءه",NA,NA,NA,NA
"673","2367","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"674","2369","First:,Second:,Third:","دار الافتاء","مشيخة الازهر","جمعيات حقوق المراة",NA,NA
"675","2372","First:,I do not know any.","المركز المصرى لحقوق المراة",NA,NA,NA,NA
"676","2376","First:","نصائح متداوله بشكل عام ع السوشيال ميديا",NA,NA,NA,NA
"677","2379","First:,Second:,Third:","المجلس القومي للمرأه","المركز المصري لحقوق المرأه","جمعية حقوق المرأه المصريه",NA,NA
"678","2381","First:","المركز القومى للمراة",NA,NA,NA,NA
"679","2384","First:","صفحات على الفيس بوك",NA,NA,NA,NA
"680","2389","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"681","2392","First:,I do not know any.",NA,NA,NA,NA,NA
"682","2393","First:,Second:,Third:,Fourth:,Fifth:","التلفاز","دورات تنمية بشرية","اليوتيوب","قنوات الاسرة والطفل","برامج الفيسبوك"
"683","2396","First:","وزاره التضامن الاجتماعي",NA,NA,NA,NA
"684","2402","First:,Second:,Third:","اليونسيف","دكاتره نفسيه ف برامج","داعيات تحرص على اصلاح العلاقات",NA,NA
"685","2407","First:,Second:,Third:,Fourth:,Fifth:","مزود الرعاية الصحية","مركز الاستشارات","شخص تثق به","جمعيات حقوق المرأة","محكمة محلية"
"686","2412","First:,Second:","الشؤون الاجتماعية","الشرطة ان استدعى الامر",NA,NA,NA
"687","2415","First:,Second:,Third:","دار الافتاء","المجلس القومى للمراءة","منظمة حقوق المراءة",NA,NA
"688","2416","First:,Second:,Third:","الجهاز القومى لحقوق المرأه","برامج توك شو","ندوات اجتماعيه",NA,NA
"689","2419","First:","بعض جمعيات المراه",NA,NA,NA,NA
"690","2430","First:","منتدى فتكات",NA,NA,NA,NA
"691","2433","First:","ممكن دكتور نفسي متخصص",NA,NA,NA,NA
"692","2435","First:","المجلس القومي للمراه",NA,NA,NA,NA
"693","2440","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"694","2442","First:","مجلس القومي للحقوق المراءه",NA,NA,NA,NA
"695","2444","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"696","2458","First:","لا اعرف",NA,NA,NA,NA
"697","2462","First:","رجال الدين",NA,NA,NA,NA
"698","2469","First:,Second:","فضفضة","استراحة",NA,NA,NA
"699","2472","First:","المجلس القومى للمراه",NA,NA,NA,NA
"700","2479","First:","المرشدين الاسريين",NA,NA,NA,NA
"701","2485","First:","ماعرفش",NA,NA,NA,NA
"702","2491","First:,Second:","Facebook","Youtube",NA,NA,NA
"703","2500","First:","المركز القومى للمراة",NA,NA,NA,NA
"704","2503","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","جوجل","يوتيوب","صحف","مجلات"
"705","2509","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي الامومه والطفوله","مؤسسات المجتمع المدني",NA,NA
"706","2512","First:","المجلس القومي للامومة والطفولة",NA,NA,NA,NA
"707","2513","First:","حقوق المراه",NA,NA,NA,NA
"708","2516","First:,Second:,Third:","برامج ف التلفزيون","فيديوهات من بعض الاشخاص المؤثرين","نصائح من التربويين والاستشاريين الاسريين",NA,NA
"709","2517","First:","Facebook",NA,NA,NA,NA
"710","2519","First:,Second:,Third:","منظمه حقوق المرأة","المنظمات الداعمه الهدف الإنمائي باهتمام بالمرأة","منظمات حقوق الانسان",NA,NA
"711","2523","First:,Second:,Third:","المجلس القومي للمرأة","بعض جروبات التواصل الاجتماعي","الجمعيات ضد عنف المرأة",NA,NA
"712","2524","First:","معرفش",NA,NA,NA,NA
"713","2531","First:","المجلس القومي للمراة",NA,NA,NA,NA
"714","2533","First:","نسويه",NA,NA,NA,NA
"715","2537","First:","بعض صفحات مثل هويدا الدمرداش",NA,NA,NA,NA
"716","2538","First:,Second:","حلول للمتضررين من العنف المنزلي","استراجية الدعم والنصح للنساء المتضرره",NA,NA,NA
"717","2547","First:,Second:,Third:,Fourth:,Fifth:","البرامج الدينية","برامج التوعية","برامج الاستشارات القانونية","المجلس القومي لحقوق المرأة","محكمة الاسرة"
"718","2551","First:","لا اعرف",NA,NA,NA,NA
"719","2555","First:","بعض الجروبات",NA,NA,NA,NA
"720","2561","First:","بعض الصفحات لا اتذكر الاسم حاليا",NA,NA,NA,NA
"721","2564","First:","موقع جوجب",NA,NA,NA,NA
"722","2569","First:","Mawada",NA,NA,NA,NA
"723","2572","First:","16000",NA,NA,NA,NA
"724","2580","First:,Second:","مؤسسات ظعم المراه","الجمعيات الأهلية للمرأة",NA,NA,NA
"725","2583","First:","محكمه الاسره",NA,NA,NA,NA
"726","2587","First:","جهاز حمايه المراءه والطفل",NA,NA,NA,NA
"727","2595","First:,Second:","المجلس القومي للمرأة","وزارة الداخلية",NA,NA,NA
"728","2604","First:","المجلس القومي للمراة",NA,NA,NA,NA
"729","2612","First:","بهيه",NA,NA,NA,NA
"730","2629","First:","الأهل",NA,NA,NA,NA
"731","2630","First:","الاستاذة نهاد ابو القمصان",NA,NA,NA,NA
"732","2632","First:,Second:","دور العبادة","الجهات القانونية",NA,NA,NA
"733","2634","First:","مركز صحة المرأة والتعليم",NA,NA,NA,NA
"734","2647","First:","الصحه النفسيه للمرأه",NA,NA,NA,NA
"735","2648","First:","Tv",NA,NA,NA,NA
"736","2655","First:","حقوق المراه",NA,NA,NA,NA
"737","2658","First:,Second:","دكتور لتنظيم العلاقة","كورسات للتعامل مع الزوج",NA,NA,NA
"738","2679","First:,I do not know any.","الشرطة",NA,NA,NA,NA
"739","2682","First:","مؤسسة قضايا المراة",NA,NA,NA,NA
"740","2690","First:,Fourth:,I do not know any.","جهه حقوق المرأة",NA,NA,NA,NA
"741","2691","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراءه","حقوق الانسان","اسال ع جوجل عن حقوقي","اسال مجموعات ع الغيس","اسال محامي"
"742","2695","First:","الشرطه",NA,NA,NA,NA
"743","2697","First:","برنامج تليفزيونى لحقوق المرءه  وده اوضح مصدر بالنسبه لى",NA,NA,NA,NA
"744","2698","First:","جمعيات أهلية",NA,NA,NA,NA
"745","2700","First:,Third:","المركز القومى للطفولة والامومة",NA,NA,NA,NA
"746","2703","First:,Second:","وزارة التضامن الاجتماعي","الجمعيات الاهلية",NA,NA,NA
"747","2704","First:,Second:","المركز القومى للمرأة","جمعيات حقوق المرأة",NA,NA,NA
"748","2705","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"749","2712","First:,Second:","مركز النديم","مركز قضايا المرأة المصرية",NA,NA,NA
"750","2716","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"751","2717","First:,Second:","هيئات حكوميه","هيئات دينيه",NA,NA,NA
"752","2723","First:","جمعيات حقوق المرأة أعرفهم كلهم تقريبا بحكم عملي معهم في كثير من الوقت وعملي في هذا المجال",NA,NA,NA,NA
"753","2726","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيس بوك","جوجل","الاعلام احيانا","استشارات زوجية"
"754","2729","First:","الإستشارات الأسرية",NA,NA,NA,NA
"755","2736","First:","محكمه الاسره",NA,NA,NA,NA
"756","2738","Third:,I do not know any.",NA,NA,NA,NA,NA
"757","2757","First:,Third:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"758","2760","First:","المركز القومي للمرأه",NA,NA,NA,NA
"759","2761","First:,Second:,Third:","الشرطة","مؤسسات خاصة بالمرأة","مؤسسات مستقلة",NA,NA
"760","2767","First:","ولا جهة غير الفيس كلهم دعاية",NA,NA,NA,NA
"761","2768","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"762","2769","First:","الفيس بوك",NA,NA,NA,NA
"763","2776","First:","د. هاله سمير",NA,NA,NA,NA
"764","2780","First:,Second:,Third:","جمعه حقوق المرأة","الشرطه و القانون","رضوي الشربيني",NA,NA
"765","2782","First:","دكتوره ارشاد نفسي واسري",NA,NA,NA,NA
"766","2789","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"767","2791","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"768","2797","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","My clinic","جمعية حواء المستقبل","مؤسسة المرأة الجديدة","المجلس القومى للطفولة والامومة"
"769","2799","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"770","2801","First:","مجموعة دعم بمستشفي الدمرداش",NA,NA,NA,NA
"771","2805","First:,Second:,Third:,Fourth:,Fifth:","محكمة الأسرة","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"772","2806","First:","منظمات حقوق المرأة",NA,NA,NA,NA
"773","2809","First:,Second:","حقوق المرأه","التضامن الاجتماعي",NA,NA,NA
"774","2810","First:,Second:,Third:","وان","جته","فين",NA,NA
"775","2811","First:,Second:,Third:,Fourth:","فيسبوك","تويتر","يوتيوب","تيكتوك",NA
"776","2816","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"777","2818","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"778","2826","First:","حقوق المرأة",NA,NA,NA,NA
"779","2827","First:,Second:","وزاره الثقافه","بيدجات علي الفيس بوك",NA,NA,NA
"780","2829","First:,Second:","صفحات الفيس","برنامج هى وبس",NA,NA,NA
"781","2832","First:","المجلس القومى للمراه بالاسكندريه",NA,NA,NA,NA
"782","2835","First:,Second:","مكاتب استشارية اسرية","منظمة حقوق المرأة",NA,NA,NA
"783","2836","First:,Second:","جمعيات حقوق المرأه","استشاريين زى عبد المجيد عويس",NA,NA,NA
"784","2837","First:,Second:","برامج","جمعيات",NA,NA,NA
"785","2841","First:","الشرطه",NA,NA,NA,NA
"786","2842","First:,I do not know any.","حقوق المرأة",NA,NA,NA,NA
"787","2846","First:,Second:,Third:","حقوق المراة","ضد عنف المراة","المساواة بين الرجل والمرأة",NA,NA
"788","2850","First:,Second:","جمعية حقوق المرأة","اتحاد نساء العالم لمناصرة حقوق المرأة",NA,NA,NA
"789","2855","Third:,Fourth:,Fifth:",NA,NA,NA,NA,NA
"790","2864","First:","محكمة الاسرة",NA,NA,NA,NA
"791","2871","First:,Second:,Third:,I do not know any.","حقوق المرأة","خقوق الانسان",NA,NA,NA
"792","2879","First:,Second:","جهات حكوميه","جهات دوليه",NA,NA,NA
"793","2880","First:,Second:","المجلس القومي للمراه بس بيعمل شوا ومش كل الي فيه ليساعد في حل المشاكل","حقوق المراه والطفلة من جمعيات ومؤسسات برضه مش بادي الدعم الكافي",NA,NA,NA
"794","2883","First:","نهاد ابو القمصان",NA,NA,NA,NA
"795","2888","First:","د. هويدا الدمرداش",NA,NA,NA,NA
"796","2891","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان","مجلس الأمومة والطفولة","الجمعيات الأهلية","وزارة التضامن الاجتماعي"
"797","2906","First:","المجلس القومى للمراة",NA,NA,NA,NA
"798","2907","First:","محمد خيري",NA,NA,NA,NA
"799","2909","First:,Second:,Third:,Fourth:,Fifth:","المركز المصري لحقوق المرأة","مؤسسة قضايا المرأة المصرية","جمعية نهوض وتنمية المرأة","مركز قضايا المرأة المصرية","خريطة التحرش"
"800","2916","First:","حقوق المرأة",NA,NA,NA,NA
"801","2917","First:,Second:,Third:","الشرطه","الجهه الاجتماعيه للمراه","جمعيه مساعده المراه",NA,NA
"802","2918","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"803","2922","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","الله اعرف"
"804","2923","First:","Tv",NA,NA,NA,NA
"805","2929","First:,Second:","نهاد القمصان","المجلس القومي للمراه",NA,NA,NA
"806","2936","First:,Second:,Third:","المجلس القومي للمرأه","مكانب تسوية منازعات الاسره","بعض البرامج التوعويه الهاصة بالنرأه وجلسات نقاش واستماع",NA,NA
"807","2940","First:,Second:","Single mother group","حقوق المرأة",NA,NA,NA
"808","2944","First:","المجلس القومي للمراه",NA,NA,NA,NA
"809","2945","First:,Second:","المركز القومي للمرأة","برنامج رضوى الشربيني",NA,NA,NA
"810","2947","First:,Second:","المجلس القومى","حزب التجمع",NA,NA,NA
"811","2953","First:","المحلسالقومي للمرأه",NA,NA,NA,NA
"812","2978","First:,Second:","مركز قضايا المراه المصريه","المجلس القومي للمراه المعنفه",NA,NA,NA
"813","2983","First:","المركز القومي للمراءه",NA,NA,NA,NA
"814","2984","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","اخصائيات محكمة الاسرة","بعض الجمعيات الأهلية","دار الافتاء",NA
"815","2990","First:,Second:","نهاد أبو القمصان","مؤسسة هويدا الدمرداش",NA,NA,NA
"816","2991","First:,Second:,Third:,Fourth:,I do not know any.","المجلس القومي للمرأة","مراكز الاستشارات الأسرية","صندوق الأمم المتحدة","..",NA
"817","2994","First:,Second:,Third:,Fourth:","منظمه الصحه العالميه","منظمه العفو الدوليه","مؤسسات ضد العنف للمرأة","جميعيات لتوعيه المرأة",NA
"818","2995","First:,Second:","دكتور نفسي","لايف كوتش",NA,NA,NA
"819","3000","First:,Second:","المجلس القومى للمرأة","المجلس القومى للمرأة",NA,NA,NA
"820","3001","First:","محكمة الاسرة",NA,NA,NA,NA
"821","3003","First:,Second:,Third:,Fourth:","برامج تليفزيونية د ناديه عمارة","هي وبس رضوي الشربيني","الستات ميعرفوش يكدبوا","الاستاذه ابو القمصان المحاميه",NA
"822","3004","First:,Second:","حكايات نهاد","المستشار",NA,NA,NA
"823","3016","First:","المجلس الاعلى للمرأه",NA,NA,NA,NA
"824","3023","First:,Second:","مركز قضايا المراه المصريه","جكعية وعي",NA,NA,NA
"825","3033","First:,Second:,Third:","حقوق الانسان","تجمعات فيس بوك","واتساب",NA,NA
"826","3034","First:,I do not know any.","المجلس القومي للمراة",NA,NA,NA,NA
"827","3036","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"828","3038","First:","لا اعرف",NA,NA,NA,NA
"829","3040","First:,Second:,Third:,Fourth:,Fifth:","جمعيه حقوق امراه","لجنه الحمله ضد الفقر والعنف","جمعيه الرعايه. المتكامله","المركز المصري لحقوق المرأه","جمعيه نهوض وتنميه المراه"
"830","3042","First:,Second:","ثوره المرأه","برنامج رضوي الشربيني",NA,NA,NA
"831","3043","First:","معرفش",NA,NA,NA,NA
"832","3050","First:","برامج",NA,NA,NA,NA
"833","3054","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"834","3055","First:,Second:",NA,NA,NA,NA,NA
"835","3057","First:","لا اعرف",NA,NA,NA,NA
"836","3059","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"837","3061","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"838","3062","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"839","3063","First:","محكمة الاسرة",NA,NA,NA,NA
"840","3064","First:,Second:","UN Women","Human Rights Watch",NA,NA,NA
"841","3072","First:,Second:,Third:","Care Egypt","Save the Children","المجلس القومي للطفولة والأمومة",NA,NA
"842","3073","First:,Second:,Third:","المجلس القومي للمرأه والطفل","الاعلام","برامج التلفزيون",NA,NA
"843","3084","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","المجلس القومي للطفولة والأمومة","قسم الإرشاد النفسي بالمعهد العالي للدراسات والبحوث التربوية","معهد دراسات الطفولة بجامعة عين شمس",NA
"844","3086","First:","المجلس القومي للمراه",NA,NA,NA,NA
"845","3087","First:,Second:","المركز القومي للامومة والطفولة","خط نجدة الطفل",NA,NA,NA
"846","3102","First:","جروبات الفيس بوك",NA,NA,NA,NA
"847","3105","First:","الشئون الاجتماعية",NA,NA,NA,NA
"848","3108","First:,Second:,Third:","دكتور استشارات اسريه","محكمة الاسرة","ملجأ للنساء",NA,NA
"849","3109","First:,Second:,Third:,Fourth:,Fifth:","الجامع","الكنيسه","الاهل","الازهر","الاصدقاء"
"850","3115","First:,Second:,Third:,Fourth:","جمعية الاسره","جمعية المرأه","موقع التواصل الاجتماعي","الفيس بوك",NA
"851","3116","First:",NA,NA,NA,NA,NA
"852","3118","First:,Second:,Third:,Fourth:,Fifth:","المؤسسات","الجمعيات","جروبات الفيس","الواتساب","جمعيات خيريه"
"853","3119","First:,Second:,Third:,Fourth:,Fifth:","جمعيات","مؤسسات","انترنت","أصدقاء","مبادرات"
"854","3124","First:,Second:","المجلس القومى للمرأة","برامج تليفزيونية",NA,NA,NA
"855","3126","First:","المجلس القومي للمراة",NA,NA,NA,NA
"856","3129","First:","فيس بوك",NA,NA,NA,NA
"857","3130","First:,Second:,Third:,Fourth:","العنف ضد المراه","اي حركه نسويه عموما","رجال الدين","الاهل",NA
"858","3134","First:","المركز القومي للمرأة",NA,NA,NA,NA
"859","3135","First:","حقوق المرأة",NA,NA,NA,NA
"860","3136","First:,Second:","المجلس القومى للمرأة","جمعية حقوق المرأة",NA,NA,NA
"861","3137","First:","مجلس المرأة",NA,NA,NA,NA
"862","3139","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"863","3142","Third:,I do not know any.",NA,NA,NA,NA,NA
"864","3150","First:","حقوق المراه",NA,NA,NA,NA
"865","3151","First:","المركز القومي لخقوق المرأة",NA,NA,NA,NA
"866","3152","First:,Second:","حقوق المرأة","جمعية الدفاع عن المرأه",NA,NA,NA
"867","3154","First:,Second:","هويدا الدمرداش","مايسا كمال",NA,NA,NA
"868","3157","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"869","3167","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"870","3170","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الأخصائيين النفسيين","الأخصائيين في حل المشاكل","الشيوخ او الكهنة","العائلة"
"871","3171","First:,Second:,Third:,Fourth:,Fifth:","Facebook","صفحات دعم المراة","صفحة حقوق المراة","كذا صفحة بتاعت ناس اعلامية بتساعد المراة انها تتخلص من العنف الاسرى","كل الصفحات اللى تخص حقوق المراة وحقها ف المساواة"
"872","3186","First:","جمعية المرأة",NA,NA,NA,NA
"873","3196","First:","فروع المجلس القومى للمراة",NA,NA,NA,NA
"874","3198","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"875","3199","First:","مكتب شكاوي المجلس القومى للمرأة",NA,NA,NA,NA
"876","3201","First:","16000",NA,NA,NA,NA
"877","3205","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"878","3211","First:,Second:","جهات الدفاع عن حقوق المراه","الجروبات النسائيه",NA,NA,NA
"879","3213","First:,Second:,Third:","المنتديات","مواقع استشارات زوجية","الفيس بوك",NA,NA
"880","3214","First:","جروبات البنات",NA,NA,NA,NA
"881","3217","First:,Second:,Third:,Fourth:,Fifth:","المركز المصري لحقوق المرأه","جمعيه الرعايه المتكامله","جمعيه نهوض وتنميه المرأه","ملتقى الهيئات لتنميه المرأه","المجلس الأعلى للمرأة"
"882","3218","First:","المجلس القومي للمراه",NA,NA,NA,NA
"883","3223","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"884","3226","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","مركز النديم لضحايا العنف الأسري","الجمعيه المصريه للتوعية والصحة النفسيه (وعي)","بيت حواء",NA
"885","3236","First:,Second:,Third:","هاله سمير","رضوا الشربينى","هبه قطب",NA,NA
"886","3241","First:,Second:,Third:","الفيس بوك","اليوتيوب","جوجل",NA,NA
"887","3251","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"888","3253","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرءاه","العواقل من الاهل","مجموعات فيس بوك","جوجل مقالات","واتس اب"
"889","3257","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"890","3263","First:,Second:","المجلس القومى للمرأه","الاحزاب",NA,NA,NA
"891","3266","First:,Second:","حقوق المرأة","حقوق الإنسان",NA,NA,NA
"892","3271","First:","المركز القومى للمراه",NA,NA,NA,NA
"893","3274","First:","المجلس القومي للمرآة",NA,NA,NA,NA
"894","3278","First:","الشرطه",NA,NA,NA,NA
"895","3280","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"896","3284","First:,I do not know any.","لا يوجد",NA,NA,NA,NA
"897","3287","First:","برنامج الاستاذه نيهاد أبو القمصان",NA,NA,NA,NA
"898","3291","First:","اعتقد جمعيه حقوق المرأة",NA,NA,NA,NA
"899","3292","First:,Second:,Third:,Fourth:","جوجل","يوتيوب","المركز القومى للمراة","الجمعيات الخيرية",NA
"900","3293","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"901","3296","First:,I do not know any.","حقوق المرأه",NA,NA,NA,NA
"902","3297","Third:,I do not know any.",NA,NA,NA,NA,NA
"903","3300","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"904","3304","First:","مجلس حقوق المراه المصري",NA,NA,NA,NA
"905","3311","First:,I do not know any.","حكايه حقوق المرأة",NA,NA,NA,NA
"906","3316","First:","حقوق المراه",NA,NA,NA,NA
"907","3326","First:,I do not know any.","الجهات الدينيه مما يجعل المرأة",NA,NA,NA,NA
"908","3331","First:","المركز القومى للمراه",NA,NA,NA,NA
"909","3333","First:","جروبات الفيس للدعم النفسي",NA,NA,NA,NA
"910","3335","First:,Second:","فيس","واتس",NA,NA,NA
"911","3340","First:,Second:","المركز القومي لحقوق المرأة","اللجان الحقوقية",NA,NA,NA
"912","3343","First:,Second:,Third:","منظمات حقوق المرأة","برنامج هى وبس","برنامج اسأل مع دعاء",NA,NA
"913","3345","First:,Second:","البرامج النسائيه","الدكاتره المتخصصين",NA,NA,NA
"914","3346","First:,Second:,Third:","برنامج حكايات نهاد","المجلس القومي للمرأة","المركز المصري لحقوق المرأة",NA,NA
